conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
7.21,True,0,7.21,True,0,0,0,False,17.267683772538142,-0.022494125366210937,1643217000000.0,7.21,7.23,7.19,7.21,17768.01,7.21,621.75,7.22,3281.16,7.2,5028.37,7.19,13934.14
7.21,True,0,7.21,True,0,-0.15,0,False,0.0,1.5429538726806642,1643217300000.0,7.21,7.22,7.19,7.19,5256.98,7.19,1151.57,7.2,4612.26,7.18,5077.53,7.17,17215.13
7.21,True,0,7.21,True,0,0.0,0,False,-0.6267409470752141,1.5326017379760741,1643217600000.0,7.18,7.21,7.18,7.2,4191.04,7.2,2998.04,7.21,4446.02,7.19,2085.85,7.18,11408.4
7.21,True,0,7.21,True,0,0.0,0,False,0.20862308762171086,1.5144454002380372,1643217900000.0,7.19,7.2,7.18,7.19,6647.46,7.2,2119.08,7.21,6758.03,7.19,2775.87,7.18,5011.81
7.21,True,0,7.21,True,0,-2.0862308762169732,0,False,0.0,1.5102063179016112,1643218200000.0,7.19,7.2,7.11,7.11,25871.08,7.1,689.43,7.11,4080.28,7.09,1973.24,7.08,11590.42
7.21,True,0,7.21,True,0,0.20862308762167459,0,False,-2.115655853314539,1.4983631134033202,1643218500000.0,7.09,7.14,7.09,7.11,14919.62,7.11,2.6,7.12,7686.08,7.1,2640.32,7.09,17082.49
7.21,True,0,7.21,True,0,0.417246175243406,0,False,0.4219409282700519,-0.0657313346862793,1643218800000.0,7.11,7.14,7.09,7.12,9427.39,7.13,3085.3,7.14,5344.8,7.12,1322.6,7.11,12656.94
7.21,True,0,7.21,True,0,-0.417246175243406,0,False,0.420757363253848,-0.10783090591430664,1643219100000.0,7.13,7.14,7.1,7.1,16417.65,7.11,1334.18,7.12,6225.32,7.1,1720.34,7.09,19435.95
7.21,True,0,7.21,True,0,-0.20862308762167459,0,False,-0.6338028169014137,-0.09330005645751953,1643219400000.0,7.1,7.11,7.09,7.1,12360.56,7.1,1949.9,7.11,3776.7,7.09,2043.97,7.08,21273.62
7.21,True,0,7.21,True,0,0.0,0,False,-0.21156558533144826,-0.08684978485107422,1643219700000.0,7.09,7.11,7.08,7.09,9547.03,7.1,3446.64,7.11,3890.32,7.09,865.41,7.08,11860.54
7.21,True,0,7.21,True,0,-3.12934631432546,0,False,0.21126760563379832,-0.06701231002807617,1643220000000.0,7.1,7.1,6.91,6.96,76095.62,6.95,496.22,6.96,2669.06,6.94,1939.19,6.93,5980.67
7.21,True,0,7.21,False,0,-3.12934631432546,0,False,-3.4582132564841332,-0.05933065414428711,1643220300000.0,6.94,6.97,6.89,6.95,38105.79,6.96,848.65,6.97,3402.68,6.95,1108.79,6.94,5994.98
7.21,True,0,7.21,True,0,-0.15,0,False,0.4310344827586115,-0.042440605163574216,1643220600000.0,6.96,6.99,6.95,6.97,16475.59,6.98,47.32,6.99,6517.02,6.97,2165.44,6.96,7063.49
7.21,True,0,7.21,True,0,-0.8595988538681922,0,False,0.21520803443328093,-0.027028465270996095,1643220900000.0,6.97,6.99,6.93,6.95,19947.42,6.95,942.17,6.96,4627.35,6.94,3141.04,6.93,10137.82
7.21,True,0,7.21,False,0,-0.8595988538681922,0,False,-0.6484149855907643,-0.03146810531616211,1643221200000.0,6.94,6.94,6.9,6.91,23871.58,6.93,3831.44,6.94,7819.66,6.92,140.21,6.91,3642.09
7.21,True,0,7.21,False,0,-0.8595988538681922,0,False,-0.21645021645023108,-0.03673486709594727,1643221500000.0,6.93,6.93,6.9,6.93,20997.17,6.94,6190.59,6.95,6705.29,6.92,3425.32,6.91,9222.4
7.21,True,0,7.21,False,0,-0.8595988538681922,0,False,0.0,-0.0061016082763671875,1643221800000.0,6.93,6.96,6.9,6.92,7941.32,6.91,68.48,6.92,4561.78,6.9,6157.64,6.89,21818.37
7.21,True,0,7.21,False,0,-0.8595988538681922,0,False,-0.6521739130434643,-0.006810665130615234,1643222100000.0,6.9,6.95,6.9,6.92,6285.38,6.93,21.81,6.94,3801.3,6.92,2722.56,6.91,23656.64
7.21,True,0,7.21,False,0,-0.8595988538681922,0,False,0.6493506493506356,-0.010025882720947265,1643222400000.0,6.93,6.96,6.9,6.92,16478.51,6.92,942.6,6.93,3896.92,6.91,2089.57,6.9,11899.68
7.21,True,0,7.21,False,0,-0.8595988538681922,0,False,-0.21676300578034222,-0.006528663635253906,1643222700000.0,6.92,6.93,6.9,6.93,9605.87,6.93,1450.87,6.94,7293.14,6.92,1215.66,6.91,9433.31
7.21,True,0,7.21,False,0,-0.8595988538681922,0,False,0.0,0.003475475311279297,1643223000000.0,6.92,7.14,6.92,7.1,42381.52,7.1,683.79,7.11,2144.65,7.09,1157.83,7.08,6087.85
7.21,True,0,7.21,True,0,-0.15,0,False,3.8028169014084447,0.03565902709960937,1643223300000.0,7.1,7.1,6.97,7.07,24262.28,7.06,102.02,7.07,2749.15,7.05,2190.15,7.04,6037.49
7.21,True,0,7.21,False,0,-0.15,0,False,-0.8498583569405107,0.02941551208496094,1643223600000.0,7.06,7.49,7.04,7.4,210694.49,7.4,1533.58,7.41,2152.73,7.39,306.08,7.38,1509.44
