conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
6.079,True,0,6.079,False,0,0,0,False,20.35573122529646,0.00711517333984375,1643532000000,6.072,6.081,6.068,6.081,1725.9,6.079,50.5,6.08,47.0,6.074,288.6,6.073,187.1
6.077,True,0,6.077,False,0,0,0,False,0.3942181340341441,-0.0012386322021484375,1643532900000,6.087999999999999,6.087999999999999,6.0760000000000005,6.077000000000001,1982.8,6.077,122.6,6.079,87.7,6.076,179.1,6.073,53.0
6.077,True,0,6.077,False,0,0,0,False,-0.0986193293885493,1.1096393585205078,1643533200000,6.084,6.13,6.084,6.127000000000001,10086.6,6.127,47.0,6.128,40.7,6.122,108.8,6.121,49.4
6.114,True,0,6.114,True,0,0,0,False,0.7848266841072821,-0.013138103485107421,1643533500000,6.1160000000000005,6.122999999999999,6.109,6.11,2444.2,6.114,162.3,6.115,228.5,6.11,56.9,6.108,51.5
6.114,False,0,6.114,True,0,-0.15,0,False,0.3181595692608667,1.0953871726989743,1643533800000,6.129,6.21,6.129,6.1770000000000005,16739.6,6.173,40.7,6.174,47.0,6.169,61.4,6.168,85.8
6.114,False,0,6.114,True,0,-0.15,0,False,1.1897054062803587,1.111704635620117,1643534100000,6.178,6.188,6.14,6.142,6663.1,6.144,47.0,6.145,91.0,6.139,85.5,6.138,33.0
6.114,False,0,6.114,True,0,-0.15,0,False,-0.29192345118390123,1.1122536659240723,1643534400000,6.166,6.182,6.149,6.154,2857.7,6.16,47.0,6.162,118.4,6.156,105.0,6.155,121.5
6.114,True,0,6.114,False,0,-0.27171052631580717,0,False,0.19436345966956073,1.113301086425781,1643534700000,6.1739999999999995,6.176,6.131,6.165,6547.2,6.155,163.5,6.156,86.5,6.147,47.0,6.146,61.1
6.114,False,0,6.114,True,0,-0.15,0,False,-0.26772675644978394,1.113962745666504,1643535000000,6.162999999999999,6.249,6.162000000000001,6.247999999999999,27017.2,6.241,8.4,6.247,34.2,6.237,156.9,6.236,55.4
6.114,False,0,6.114,True,0,-0.15,0,False,1.5416733579573054,0.030141735076904298,1643535300000,6.227,6.245,6.226,6.232,927.9,6.237,29.6,6.24,71.3,6.232,4.8,6.23,83.7
6.114,False,0,6.114,True,0,-0.15,0,False,1.2185409366039965,0.010821914672851563,1643535600000,6.278,6.35,6.278,6.29,44208.1,6.299,1.8,6.3,36.7,6.295,4.6,6.294,47.0
6.114,False,0,6.114,True,0,-0.15,0,False,0.8552423186569641,0.01399374008178711,1643535900000,6.314,6.346,6.29,6.346,16375.9,6.349,74.7,6.35,77.5,6.343,36.7,6.342,101.0
6.114,False,0,6.114,True,0,-0.15,0,False,1.5749882463563745,0.017945289611816406,1643536200000,6.381,6.446000000000001,6.367999999999999,6.446000000000001,62873.4,6.447,6.1,6.448,3.3,6.444,3.1,6.442,127.2
6.114,False,0,6.114,True,0,-0.15,0,False,1.5816405644285847,0.028729343414306642,1643536500000,6.449,6.4510000000000005,6.417999999999999,6.432,8101.7,6.43,23.3,6.432,47.0,6.424,169.6,6.423,181.5
6.114,True,0,6.114,False,0,6.893506703278938,0,False,0.48686244204018336,0.016983509063720703,1643536800000,6.47,6.5,6.455,6.481,16784.1,6.485,215.5,6.486,145.2,6.479,21.2,6.478,91.6
6.114,False,0,6.114,True,0,-0.15,0,False,0.485287320905888,0.023932266235351562,1643537100000,6.4910000000000005,6.5,6.479,6.489,11307.8,6.473,113.4,6.474,202.0,6.467,30.8,6.464,299.1
