conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
61.74,True,0,61.74,False,0,0,0,False,-139.19512195121948,838606809.9637451,1643255400000,61.5,61.76,61.48,61.73,1809.33,61.74,6.84,61.75,14.78,61.73,34.68,61.72,6.44
61.74,True,0,61.74,False,0,0,0,False,1.5448986160283245,3210164104.3962646,1643255700000,62.14,62.17,61.79,61.79,4307.34,61.85,36.38,61.86,3.69,61.83,10.49,61.82,77.91
61.74,True,0,61.74,False,0,0,0,False,-0.3387096774193562,10944735.419618225,1643256000000,62.0,62.0,61.77,61.9,1708.56,62.04,3.75,62.05,58.54,62.01,21.16,62.0,39.43
61.74,True,0,61.74,False,0,0,0,False,-0.3151769839987132,1981096.5343887329,1643256300000,61.87,61.95,61.75,61.9,2046.48,61.93,19.2,61.94,58.47,61.91,4.04,61.9,242.15
61.74,True,0,61.74,False,0,0,0,False,1.4644686299615863,1523152.3796051026,1643256600000,62.48,62.64,62.43,62.63,3596.09,62.54,59.81,62.55,12.05,62.53,26.37,62.52,95.28
61.74,True,0,61.74,False,0,0,0,False,-0.6994693680656033,3627.6973876953125,1643256900000,62.19,62.34,62.19,62.19,1113.07,62.03,25.63,62.05,17.21,62.02,16.24,62.01,143.71
61.74,True,0,61.74,False,0,0,0,False,-0.2899951667472147,-838606829.8014984,1643257200000,62.07,62.11,61.96,62.04,1532.04,62.08,26.92,62.09,10.98,62.07,32.59,62.06,81.68
61.74,True,0,61.74,False,0,0,0,False,-0.7773279352226727,-3210164621.1380043,1643257500000,61.75,61.81,61.66,61.75,2768.76,61.78,12.0,61.8,72.25,61.77,21.0,61.76,83.84
61.74,True,0,61.74,False,0,0,0,False,0.29093260061418486,-10944169.288594056,1643257800000,61.87,62.02,61.85,61.93,1455.89,61.82,57.22,61.83,3.2,61.79,39.66,61.78,94.54
61.74,True,0,61.74,False,0,0,0,False,0.62771607918881,-1981083.2028877258,1643258100000,62.13,62.22,62.06,62.18,618.56,62.21,23.8,62.22,0.2,62.2,180.38,62.19,3.2
61.74,True,0,61.74,False,0,0,0,False,0.38529458982179304,-1523198.8585083007,1643258400000,62.29,62.29,62.19,62.19,717.46,62.17,18.0,62.18,44.84,62.16,19.2,62.15,8.09
61.74,True,0,61.74,False,0,0,0,False,-0.4104958145524832,-3562.0138648986817,1643258700000,62.12,62.29,62.12,62.2,1168.81,62.45,36.56,62.46,3.2,62.43,5.27,62.42,12.2
61.74,True,0,61.74,False,0,0,0,False,0.7448342143200439,-0.051145172119140624,1643259000000,62.43,62.45,62.38,62.43,301.85,62.43,34.99,62.44,16.76,62.42,33.41,62.41,39.34
61.74,True,0,61.74,False,0,0,0,False,-0.4337349397590355,0.16855697631835936,1643259300000,62.25,62.32,62.23,62.31,441.97,62.26,3.38,62.27,3.2,62.25,3.2,62.24,21.61
61.74,True,0,61.74,False,0,0,0,False,-0.16886458668382184,0.06623458862304688,1643259600000,62.18,62.33,62.18,62.27,1507.38,62.21,34.18,62.22,19.2,62.2,10.67,62.19,12.62
61.74,True,0,61.74,False,0,0,0,False,0.624599615631001,0.004229736328125,1643259900000,62.44,62.49,62.3,62.36,1808.8,62.33,43.49,62.34,72.35,62.32,16.72,62.31,36.16
61.74,True,0,61.74,False,0,0,0,False,-0.5787781350482192,0.017203521728515626,1643260200000,62.2,62.27,62.11,62.25,2880.19,62.16,0.19,62.17,29.77,62.15,31.84,62.14,27.75
61.74,True,0,61.74,False,0,0,0,False,-0.14483424525266078,0.01473388671875,1643260500000,62.14,62.34,62.1,62.18,1783.04,62.19,28.96,62.2,19.2,62.18,16.75,62.17,20.77
61.74,True,0,61.74,False,0,0,0,False,1.1022364217252416,-0.049938201904296875,1643260800000,62.6,62.64,62.55,62.57,762.56,62.57,39.83,62.58,42.12,62.56,13.7,62.55,1.44
61.74,True,0,61.74,False,0,0,0,False,-0.28809218950065113,0.05136871337890625,1643261100000,62.48,62.57,62.31,62.42,2945.79,62.36,13.47,62.37,3.2,62.35,3.2,62.34,50.84
61.74,True,0,61.74,False,0,0,0,False,-0.24046168643794721,0.03728179931640625,1643261400000,62.38,62.48,62.33,62.41,717.94,62.54,2446.3,62.55,14.95,62.53,73.16,62.52,19.2
61.74,True,0,61.74,False,0,0,0,False,0.07210382951448654,0.0056121826171875,1643261700000,62.41,62.51,62.38,62.41,705.58,62.39,0.69,62.4,13.2,62.38,37.58,62.37,5.82
61.74,True,0,61.74,False,0,0,0,False,-0.5306319343945944,0.028939056396484374,1643262000000,62.19,62.2,62.12,62.15,181.36,62.14,24.46,62.15,21.61,62.12,19.2,62.11,19.2
61.74,True,0,61.74,False,0,0,0,False,0.07232401157184459,-0.00962982177734375,1643262300000,62.22,62.64,62.21,62.37,9734.23,62.44,42.31,62.45,14.55,62.42,0.17,62.41,3.2
61.74,True,0,61.74,False,0,0,0,False,1.077070368597422,-0.04214630126953125,1643262600000,62.67,62.71,62.54,62.54,939.54,62.55,25.96,62.56,22.6,62.53,19.2,62.52,17.69
61.74,True,0,61.74,False,0,0,0,False,-0.43206913106096906,0.028578948974609376,1643262900000,62.49,62.57,62.44,62.48,417.47,62.45,10.4,62.46,46.41,62.44,63.72,62.43,32.13
61.74,True,0,61.74,False,0,0,0,False,-0.21634615384616204,0.017269134521484375,1643263200000,62.4,62.53,62.38,62.45,268.95,62.4,30.54,62.41,41.33,62.38,28.05,62.37,87.08
61.74,True,0,61.74,False,0,0,0,False,-0.04809233728758261,0.006957244873046875,1643263500000,62.38,62.4,62.11,62.14,1601.0,62.13,31.5,62.14,1.25,62.12,126.62,62.11,17.85
61.74,True,0,61.74,False,0,0,0,False,-0.4582730342498911,0.0007476806640625,1643263800000,62.19,62.27,62.16,62.24,606.12,62.21,9.05,62.22,25.03,62.19,36.18,62.18,46.89
61.74,True,0,61.74,False,0,0,0,False,-0.04825478526619596,-0.026663970947265626,1643264100000,62.17,62.2,62.07,62.14,925.76,62.17,16.0,62.18,20.11,62.16,14.28,62.15,3.2
61.74,True,0,61.74,False,0,0,0,False,0.16870179948586186,-0.07914047241210938,1643264400000,62.24,62.33,62.2,62.32,1301.47,62.34,11.43,62.35,15.42,62.33,95.05,62.32,104.89
61.74,True,0,61.74,False,0,0,0,False,0.45651129264776,-0.0267547607421875,1643264700000,62.43,62.47,62.39,62.43,765.08,62.37,9.99,62.38,50.58,62.36,13.78,62.35,8.87
61.74,True,0,61.74,False,0,0,0,False,-0.31300160513644276,0.00605316162109375,1643265000000,62.3,62.37,62.28,62.28,473.21,62.29,17.99,62.3,87.71,62.28,20.8,62.27,32.79
61.74,True,0,61.74,False,0,0,0,False,0.0,0.026325225830078125,1643265300000,62.3,62.37,62.3,62.3,938.13,62.33,21.38,62.34,23.48,62.32,16.99,62.31,3.2
61.74,True,0,61.74,False,0,0,0,False,0.16835016835016903,0.00481719970703125,1643265600000,62.37,62.46,62.34,62.43,622.98,62.44,26.69,62.45,28.55,62.43,36.98,62.42,19.2
61.74,True,0,61.74,False,0,0,0,False,0.4316546762589921,0.047222137451171875,1643265900000,62.55,62.58,62.5,62.54,1325.99,62.51,42.8,62.52,7.59,62.5,248.73,62.49,20.73
61.74,True,0,61.74,False,0,0,0,False,-0.09598464245720481,0.03832931518554687,1643266200000,62.51,62.58,62.51,62.58,1031.27,62.57,11.06,62.58,3.2,62.56,33.62,62.55,38.07
