conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
46.76,True,0,46.76,False,0,0,0,False,-101.31748071979433,-0.33175506591796877,1643325900000.0,46.68,46.86,46.66,46.75,1313.49,46.76,20.68,46.77,17.73,46.73,25.52,46.72,82.22
46.76,True,0,46.76,False,0,0,0,False,-0.12864493996569193,13.704698181152343,1643326200000.0,46.64,46.84,46.59,46.79,1026.81,46.82,1.67,46.83,8.67,46.81,0.64,46.79,72.49
46.76,True,0,46.76,False,0,0,0,False,-0.482521981556933,10.519580078125,1643326800000.0,46.63,46.76,46.6,46.74,1440.51,46.86,0.78,46.87,10.45,46.85,18.3,46.84,6.83
47.01,True,0,47.01,False,0,0,0,False,1.4021669853409742,-0.004177093505859375,1643327400000.0,47.07,47.07,46.98,47.04,342.82,47.01,9.13,47.02,19.85,46.99,7.76,46.98,12.22
47.01,True,0,47.01,False,0,0,0,False,0.6978219496722315,9.538694763183594,1643327700000.0,47.29,47.36,47.25,47.31,269.88,47.3,15.17,47.31,143.84,47.26,4.39,47.25,56.25
47.01,True,0,47.01,False,0,0,0,False,0.03171247357293238,9.65955810546875,1643328000000.0,47.3,47.3,47.21,47.21,147.28,47.21,8.81,47.22,57.65,47.18,7.82,47.17,181.36
47.01,True,0,47.01,False,0,0,0,False,-0.2541296060991051,9.546977996826172,1643328300000.0,47.22,47.43,47.22,47.3,1046.81,47.38,18.27,47.39,15.23,47.35,2.73,47.34,46.94
47.05,True,0,47.05,False,0,0,0,False,-0.8304940374786989,0.010434722900390625,1643329500000.0,46.96,47.15,46.96,47.06,312.92,47.05,49.23,47.06,16.09,47.03,24.58,47.02,337.54
47.05,True,0,47.05,False,0,0,0,False,0.2551020408163211,9.472344207763673,1643329800000.0,47.04,47.05,46.86,46.91,1082.23,46.88,28.92,46.89,78.4,46.86,3.9,46.85,17.39
47.05,True,0,47.05,False,0,0,0,False,-0.5440580328568435,9.431687927246093,1643330100000.0,46.87,46.98,46.86,46.86,573.13,46.84,40.29,46.85,86.61,46.82,1.14,46.81,13.87
47.05,True,0,47.05,False,0,0,0,False,0.5103125664469605,9.399522399902343,1643330400000.0,47.03,47.03,46.95,46.97,188.25,46.99,39.9,47.0,74.68,46.97,8.32,46.96,20.01
47.05,True,0,47.05,False,0,0,0,False,-0.8016246259085079,9.42751235961914,1643330700000.0,46.78,46.87,46.7,46.85,375.97,46.84,10.35,46.85,33.13,46.82,17.76,46.81,91.27
47.05,True,0,47.05,False,0,0,0,False,0.4156896184182332,9.40347442626953,1643331000000.0,46.91,46.92,46.83,46.85,118.1,46.83,38.79,46.84,14.14,46.82,0.41,46.81,80.51
47.05,True,0,47.05,False,0,0,0,False,0.6050955414012893,-0.0347808837890625,1643331300000.0,47.1,47.17,47.08,47.16,319.85,47.18,47.44,47.19,7.27,47.16,10.04,47.15,17.01
47.05,True,0,47.05,True,0,-0.15,0,False,0.6342494714587603,0.16012191772460938,1643331600000.0,47.3,47.32,47.24,47.25,1027.91,47.23,8.61,47.24,72.53,47.21,9.69,47.2,156.74
47.05,True,0,47.05,False,0,-0.15,0,False,0.06339814032122715,0.20770416259765626,1643331900000.0,47.32,47.37,47.29,47.31,822.27,47.45,48.64,47.46,16.95,47.42,101.9,47.41,11.18
47.05,True,0,47.05,True,0,-0.15,0,False,0.18995356690587464,0.14480667114257811,1643332200000.0,47.38,47.48,47.33,47.36,1806.02,47.42,47.91,47.43,74.4,47.39,5.09,47.38,10.76
47.05,True,0,47.05,False,0,-0.15,0,False,0.15812776723591765,0.17154693603515625,1643332500000.0,47.43,47.54,47.43,47.44,1150.68,47.42,60.14,47.43,42.46,47.41,34.97,47.4,11.87
47.05,True,0,47.05,False,0,-0.15,0,False,-0.348689771766693,0.21600723266601562,1643332800000.0,47.32,47.39,47.28,47.28,752.89,47.22,26.89,47.23,37.64,47.19,8.0,47.18,31.88
46.56,True,0,46.56,False,0,0,0,False,-2.5467440361057356,0.017815399169921874,1643334900000.0,46.53,46.61,46.5,46.61,1172.01,46.56,8.0,46.57,28.33,46.54,8.96,46.53,24.58
46.56,True,0,46.56,False,0,0,0,False,0.1288383079235532,9.405860137939454,1643335200000.0,46.57,46.63,46.26,46.4,2660.18,46.28,8.0,46.29,12.7,46.26,2.35,46.25,10.27
46.56,True,0,46.56,False,0,0,0,False,-1.6608771168041618,9.341279602050781,1643335500000.0,46.06,46.12,45.9,46.09,2840.81,46.13,20.43,46.14,53.27,46.1,4.09,46.09,22.88
46.56,True,0,46.56,False,0,0,0,False,0.227617602427922,9.26678009033203,1643335800000.0,46.13,46.28,46.12,46.16,2581.64,46.16,32.49,46.17,83.98,46.15,8.22,46.14,5.19
46.56,True,0,46.56,False,0,0,0,False,-0.032523850823954197,9.262651062011718,1643336100000.0,46.12,46.23,45.99,46.06,4522.38,46.13,15.97,46.14,55.42,46.1,137.08,46.09,10.81
46.56,True,0,46.56,False,0,0,0,False,0.1299826689774669,9.223361206054687,1643336400000.0,46.16,46.4,46.13,46.29,2203.01,46.29,41.72,46.3,125.47,46.26,9.64,46.25,38.42
46.56,True,0,46.56,False,0,0,0,False,0.42125729099158316,-0.117840576171875,1643336700000.0,46.29,46.42,46.29,46.4,617.84,46.42,60.58,46.43,16.0,46.41,51.62,46.4,4.33
46.56,True,0,46.56,False,0,0,0,False,0.29107373868047676,0.0064300537109375,1643337000000.0,46.38,46.46,46.26,46.45,1217.07,46.41,4.03,46.42,12.92,46.4,22.89,46.39,81.8
46.56,True,0,46.56,True,0,-0.15,0,False,0.3549150354915017,0.060750579833984374,1643337300000.0,46.49,46.52,46.35,46.41,1032.5,46.46,8.0,46.48,33.29,46.45,27.43,46.44,113.36
46.56,True,0,46.56,False,0,-0.15,0,False,0.0,0.06613616943359375,1643337600000.0,46.49,46.51,46.38,46.47,1679.27,46.46,45.35,46.47,8.0,46.45,10.03,46.44,39.22
46.95,True,0,46.95,False,0,0,0,False,1.5012776831345789,0.03992538452148438,1643338800000.0,46.96,47.04,46.91,46.96,1706.47,46.95,9.23,46.96,23.85,46.94,44.73,46.93,27.95
46.95,True,0,46.95,False,0,0,0,False,0.5727619855748824,9.57143325805664,1643339100000.0,47.14,47.35,47.14,47.35,1281.12,47.32,21.89,47.33,55.67,47.3,0.67,47.29,52.52
46.95,True,0,46.95,True,0,-0.15,0,False,0.6652587117212276,9.637465667724609,1643339400000.0,47.35,47.48,47.3,47.45,2197.96,47.52,13.7,47.53,12.07,47.51,20.53,47.49,66.56
46.95,True,0,46.95,True,0,-0.15,0,False,1.1942174732872266,9.592099761962888,1643339700000.0,47.73,47.79,47.64,47.73,1384.27,47.69,18.53,47.7,25.13,47.66,91.37,47.65,44.82
46.95,True,0,46.95,False,0,-0.15,0,False,0.03142019271053136,9.654228210449219,1643340000000.0,47.74,47.82,47.7,47.8,2585.28,47.8,10.61,47.81,48.75,47.78,26.0,47.77,68.73
46.95,True,0,46.95,False,0,-0.15,0,False,-0.0314267756128382,9.6801513671875,1643340300000.0,47.73,47.8,47.69,47.69,3271.09,47.73,1.16,47.74,41.59,47.71,7.41,47.7,11.92
46.95,True,0,46.95,True,0,-0.15,0,False,0.43868811364111315,0.11896514892578125,1643340600000.0,47.87,47.88,47.62,47.68,1484.37,47.67,78.44,47.68,26.26,47.65,8.0,47.64,52.25
47.79,True,0,47.79,False,0,0,0,False,-0.6609315988250132,0.03799591064453125,1643340900000.0,47.66,47.81,47.65,47.78,1821.97,47.79,9.89,47.8,18.63,47.77,23.37,47.76,29.19
47.84,True,0,47.84,False,0,0,0,False,-0.06266973052016857,0.033068084716796876,1643341500000.0,47.87,47.93,47.78,47.86,1941.43,47.84,6.62,47.85,20.95,47.83,8.0,47.82,6.27
47.84,True,0,47.84,False,0,0,0,False,-0.12544428183148384,9.73153076171875,1643341800000.0,47.83,47.86,47.77,47.81,1022.79,47.83,47.44,47.84,16.09,47.81,17.03,47.8,29.22
47.84,True,0,47.84,False,0,0,0,False,-0.03136762860727105,9.732904052734373,1643342100000.0,47.82,47.86,47.73,47.82,796.35,47.87,8.0,47.88,48.13,47.86,0.67,47.85,31.87
47.84,True,0,47.84,False,0,0,0,False,0.09404388714733898,9.723109436035156,1643342400000.0,47.85,48.15,47.85,48.09,2929.69,48.06,8.0,48.07,20.58,48.05,2.42,48.04,90.36
47.84,True,0,47.84,False,0,0,0,False,0.3128258602711202,9.757553863525391,1643342700000.0,47.95,48.07,47.95,48.03,702.56,48.03,6.48,48.04,67.94,48.02,13.77,48.01,89.67
47.84,True,0,47.84,False,0,0,0,False,-0.12523481527866706,9.780568695068359,1643343000000.0,47.91,47.98,47.88,47.89,987.41,47.94,14.99,47.95,6.37,47.93,8.0,47.92,52.66
47.84,True,0,47.84,False,0,0,0,False,0.03130217028382236,0.044925689697265625,1643343300000.0,47.92,47.93,47.79,47.84,1464.84,47.86,4.13,47.87,27.82,47.85,40.06,47.84,14.56
47.84,True,0,47.84,False,0,0,0,False,-0.3451160845011486,0.024887847900390624,1643343600000.0,47.81,47.89,47.76,47.81,1597.49,47.83,233.09,47.84,53.48,47.82,10.09,47.81,8.09
47.84,True,0,47.84,False,0,0,0,False,0.1567070622649305,0.010662841796875,1643343900000.0,47.86,47.88,47.74,47.76,811.7,47.79,12.69,47.8,103.36,47.77,42.11,47.76,66.94
47.84,True,0,47.84,False,0,0,0,False,-0.3455497382198935,-0.034021759033203126,1643344200000.0,47.75,47.76,47.61,47.68,1912.26,47.72,117.3,47.73,10.93,47.71,27.62,47.7,39.44
47.84,True,0,47.84,False,0,0,0,False,0.15690376569036765,-0.0674224853515625,1643344500000.0,47.8,47.81,47.73,47.76,856.33,47.78,18.33,47.79,81.35,47.77,10.98,47.76,11.9
47.84,True,0,47.84,True,0,-0.15,0,False,0.09408321137361846,-0.059316253662109374,1643344800000.0,47.83,47.83,47.69,47.72,1387.14,47.73,22.68,47.74,98.91,47.72,4.72,47.71,2.73
47.44,True,0,47.44,False,0,0,0,False,-0.47189597315435794,0.04388351440429687,1643345100000.0,47.68,47.7,47.43,47.45,1570.34,47.44,8.0,47.45,44.47,47.42,7.38,47.41,14.09
47.44,True,0,47.44,False,0,0,0,False,-0.7270811380400323,9.672546386718748,1643345400000.0,47.45,47.57,47.34,47.57,985.85,47.56,2.42,47.57,25.21,47.54,8.0,47.53,36.81
47.44,True,0,47.44,False,0,0,0,False,0.3783897414336686,9.662933349609375,1643345700000.0,47.57,47.65,47.54,47.56,535.86,47.59,1.13,47.6,37.13,47.57,47.3,47.56,18.25
