conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
2.373,True,0,2.373,False,0,0,0,False,-72.20125786163523,-0.0007171154022216797,1643532000000,2.385,2.386,2.367,2.369,4313.41,2.373,427.62,2.374,100.0,2.369,1097.35,2.368,18.53
2.345,True,0,2.345,False,0,0,0,False,-1.7819261773440833,0.0028601646423339843,1643532900000,2.3569999999999998,2.365,2.336,2.35,11205.67,2.345,3589.21,2.348,42.64,2.342,423.19,2.341,250.0
2.345,True,0,2.345,False,0,0,0,False,-1.1543394613082383,0.5386780738830567,1643533200000,2.339,2.346,2.336,2.346,7542.62,2.35,357.11,2.351,427.99,2.344,12.38,2.343,465.81
2.351,True,0,2.351,True,0,0,0,False,0.7021276595744758,0.001378631591796875,1643533500000,2.35,2.3609999999999998,2.345,2.345,5705.37,2.351,100.0,2.352,42.6,2.345,2753.14,2.343,60.55
2.351,False,0,2.351,True,0,-0.15,0,False,-0.25575447570332505,0.5200594902038574,1643533800000,2.346,2.35,2.339,2.349,9242.88,2.343,4.97,2.346,150.0,2.341,150.0,2.34,1694.75
2.351,False,0,2.351,True,0,-0.15,0,False,0.12776831345827663,0.5173587322235107,1643534100000,2.3480000000000003,2.351,2.343,2.343,4588.38,2.348,14.05,2.351,423.19,2.343,617.6,2.341,462.74
2.351,False,0,2.351,True,0,-0.15,0,False,0.25510204081629845,0.513722038269043,1643534400000,2.352,2.352,2.3409999999999997,2.343,1103.18,2.347,14.73,2.348,754.1,2.341,755.56,2.34,1767.42
2.351,False,0,2.351,True,0,-0.15,0,False,-0.7692307692307699,0.5133206844329835,1643534700000,2.34,2.34,2.316,2.3169999999999997,23916.36,2.317,2.49,2.319,15.78,2.313,627.11,2.312,384.36
2.351,False,0,2.351,True,0,-0.15,0,False,-2.4761077324065908,0.5079042911529541,1643535000000,2.302,2.338,2.299,2.33,13170.21,2.333,15.7,2.334,100.0,2.328,394.72,2.327,8.59
2.351,False,0,2.351,True,0,-0.15,0,False,2.1832191780821795,-0.01354217529296875,1643535300000,2.336,2.3409999999999997,2.323,2.3409999999999997,7339.45,2.343,100.0,2.344,18.36,2.337,13.03,2.336,66.78
2.351,False,0,2.351,True,0,-0.15,0,False,0.25641025641025667,-0.009596157073974609,1643535600000,2.34,2.34,2.3280000000000003,2.3280000000000003,1688.56,2.333,20.74,2.336,466.03,2.328,405.11,2.327,258.59
2.351,False,0,2.351,True,0,-0.15,0,False,-0.5791505791505726,-0.0056607723236083984,1643535900000,2.331,2.331,2.316,2.3209999999999997,5661.01,2.326,508.83,2.327,624.21,2.319,615.69,2.318,998.75
2.351,False,0,2.351,True,0,-0.15,0,False,-1.1019878997407024,-0.005994129180908203,1643536200000,2.314,2.314,2.3040000000000003,2.3080000000000003,4707.38,2.316,12.71,2.317,423.19,2.309,100.0,2.308,2203.06
2.351,False,0,2.351,True,0,-0.15,0,False,1.7300299017513687,-0.0024507522583007814,1643536500000,2.3409999999999997,2.3409999999999997,2.326,2.336,5003.42,2.336,523.19,2.337,150.0,2.331,100.0,2.329,100.31
2.351,False,0,2.351,True,0,-0.15,0,False,-0.6435006435006297,-0.001786041259765625,1643536800000,2.331,2.3369999999999997,2.323,2.331,1806.09,2.338,12.96,2.339,423.19,2.334,100.0,2.333,474.64
2.351,True,0,2.351,False,0,-0.8962649402390382,0,False,0.1928020565552772,-0.002240562438964844,1643537100000,2.334,2.34,2.3280000000000003,2.329,2936.4,2.334,423.19,2.335,142.9,2.328,523.19,2.327,1496.49
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.2575107296137341,-0.0022633552551269533,1643537400000,2.33,2.3369999999999997,2.329,2.332,954.34,2.334,100.0,2.335,488.63,2.33,85.76,2.329,58.92
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.19338203695746328,-0.0018283367156982423,1643537700000,2.327,2.334,2.3169999999999997,2.323,7254.16,2.327,9.98,2.328,423.19,2.323,1556.09,2.321,419.32
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.2574002574002576,0.00012254714965820312,1643538000000,2.331,2.335,2.312,2.32,3487.97,2.318,14.86,2.319,106.73,2.312,423.19,2.311,32.94
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-1.1019878997407024,-0.0009338855743408203,1643538300000,2.314,2.316,2.311,2.312,4200.05,2.318,466.38,2.319,658.86,2.311,250.0,2.31,327.99
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.12975778546714256,-0.0013484477996826172,1643538600000,2.312,2.326,2.312,2.324,4631.0,2.323,1182.94,2.324,418.89,2.317,423.19,2.316,577.77
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.7745266781411367,-0.000716543197631836,1643538900000,2.324,2.333,2.324,2.327,1136.49,2.327,1743.76,2.332,42.61,2.325,75.12,2.322,150.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.3862660944206155,-0.0002596855163574219,1643539200000,2.33,2.345,2.3280000000000003,2.333,3484.45,2.338,150.0,2.339,42.87,2.331,244.33,2.33,150.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.44929396662385584,9.121894836425782e-05,1643539500000,2.3369999999999997,2.342,2.324,2.331,6502.43,2.347,17.49,2.348,469.95,2.341,100.0,2.34,42.6
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.9566326530612325,0.00010018348693847656,1643539800000,2.352,2.3569999999999998,2.334,2.339,10466.69,2.34,10.55,2.342,1173.89,2.337,623.93,2.336,42.76
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.19157088122603252,0.0004858970642089844,1643540100000,2.349,2.351,2.345,2.345,1317.61,2.36,140.41,2.361,678.45,2.353,16.13,2.352,1345.14
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.44567062818334086,0.00029044151306152345,1643540400000,2.356,2.356,2.334,2.344,7244.0,2.337,16.23,2.338,100.0,2.333,15.22,2.332,9.73
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.6393861892582984,-6.198883056640625e-07,1643540700000,2.346,2.35,2.3409999999999997,2.35,3973.25,2.351,469.92,2.352,431.68,2.343,301.1,2.341,913.96
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.0,-5.397796630859375e-05,1643541000000,2.346,2.359,2.342,2.358,2150.11,2.355,1960.46,2.357,18.53,2.347,152.2,2.345,230.94
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.12776831345827663,0.0002749919891357422,1643541300000,2.3480000000000003,2.3480000000000003,2.34,2.34,2654.6,2.346,11.14,2.347,431.68,2.341,85.36,2.34,979.98
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.12765957446807105,-0.00020895004272460937,1643541600000,2.35,2.3680000000000003,2.35,2.363,20577.91,2.354,229.48,2.356,527.35,2.351,239.7,2.349,42.46
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.6355932203389696,-6.628036499023438e-05,1643541900000,2.36,2.363,2.339,2.339,12331.73,2.339,1000.0,2.34,18.53,2.334,11.62,2.333,427.35
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-2.1926053310404003,-0.0005131244659423828,1643542200000,2.326,2.3369999999999997,2.326,2.331,1011.91,2.338,21.48,2.34,2373.53,2.332,150.0,2.331,668.75
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.193715023676288,-0.0009890556335449218,1643542500000,2.323,2.33,2.3169999999999997,2.3169999999999997,3552.92,2.322,507.93,2.323,427.35,2.32,4.55,2.318,150.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.06459948320412726,-0.0016376495361328125,1643542800000,2.322,2.322,2.307,2.314,6987.48,2.318,8.12,2.319,427.35,2.312,576.26,2.31,1486.62
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-1.1062906724511867,-0.0010516643524169922,1643543100000,2.305,2.323,2.305,2.3169999999999997,8237.88,2.314,389.39,2.315,74.97,2.31,9.2,2.309,9.83
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.32467532467531773,-0.0012235641479492188,1643543400000,2.31,2.3280000000000003,2.307,2.323,5433.93,2.323,150.47,2.324,443.09,2.32,427.35,2.318,428.63
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,1.0318142734307834,-0.00047206878662109375,1643543700000,2.326,2.3280000000000003,2.312,2.322,12264.35,2.321,855.98,2.322,52.11,2.316,577.56,2.314,201.9
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.06451612903225096,-4.572868347167969e-05,1643544000000,2.325,2.325,2.314,2.323,1484.8,2.321,74.97,2.322,155.35,2.315,427.35,2.314,88.79
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.8434256055363546,0.0002970695495605469,1643544300000,2.312,2.315,2.303,2.305,4318.07,2.306,536.81,2.307,427.35,2.305,98.6,2.302,152.71
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.6516072980017237,-0.0009055614471435546,1643544600000,2.302,2.302,2.251,2.269,43390.62,2.271,83.56,2.272,24.67,2.269,1614.22,2.266,44.09
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-1.3146362839614385,-0.008614206314086914,1643544900000,2.282,2.287,2.271,2.272,4321.99,2.272,6603.59,2.274,721.35,2.27,11.02,2.269,11.31
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.39543057996486564,-0.008871030807495118,1643545200000,2.276,2.286,2.276,2.279,2761.75,2.283,286.52,2.284,916.12,2.276,237.92,2.275,10.99
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.32880315651032466,-0.008286237716674805,1643545500000,2.281,2.281,2.27,2.274,2757.8,2.276,471.34,2.277,74.97,2.27,37.49,2.269,1111.31
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.793301013662407,-0.008007955551147462,1643545800000,2.269,2.287,2.269,2.287,11377.73,2.284,5.95,2.286,74.97,2.281,9.32,2.28,142.99
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.7236842105262946,-0.006702423095703125,1643546100000,2.28,2.293,2.279,2.293,6874.47,2.293,100.0,2.294,533.84,2.289,50.0,2.288,263.56
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.26269702276710466,0.0010017871856689454,1643546400000,2.2840000000000003,2.3,2.282,2.2840000000000003,2179.51,2.289,209.94,2.29,150.0,2.282,155.67,2.281,111.25
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.46113306982875907,0.0007599353790283203,1643546700000,2.2769999999999997,2.281,2.263,2.271,6891.63,2.274,13.67,2.276,10.02,2.271,100.0,2.27,194.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.06590509666080119,-0.00040736198425292967,1643547000000,2.276,2.2769999999999997,2.27,2.272,128.96,2.276,532.72,2.278,472.1,2.27,11.31,2.269,278.44
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-1.5312916111850656,-0.000716400146484375,1643547300000,2.253,2.2640000000000002,2.2430000000000003,2.256,49298.69,2.265,13.3,2.266,768.8,2.259,100.0,2.258,95.59
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.3321523472099132,-0.003480815887451172,1643547600000,2.258,2.262,2.238,2.251,6920.98,2.249,25.5,2.25,44.47,2.243,8.92,2.242,15.44
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.9358288770053335,-0.004687213897705078,1643547900000,2.244,2.245,2.2319999999999998,2.24,9141.07,2.24,566.04,2.242,250.0,2.238,13.71,2.236,484.69
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.7389162561576436,-0.0066548347473144535,1643548200000,2.233,2.2359999999999998,2.222,2.224,4257.26,2.228,182.32,2.229,1457.38,2.223,427.35,2.222,44.97
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.33512064343162823,-0.00920553207397461,1643548500000,2.238,2.24,2.224,2.24,17466.74,2.24,100.9,2.241,1458.44,2.235,427.35,2.234,1122.58
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.06705409029950088,-0.008710241317749024,1643548800000,2.237,2.238,2.2319999999999998,2.233,580.21,2.238,427.35,2.239,1177.66,2.234,1000.0,2.233,1114.1
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.20089285714286473,-0.006041240692138672,1643549100000,2.24,2.245,2.231,2.241,7273.63,2.244,113.64,2.245,53.57,2.238,986.6,2.237,428.63
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.9977827050997571,-0.004822921752929687,1643549400000,2.255,2.263,2.251,2.255,2760.48,2.258,427.35,2.26,2657.49,2.253,100.0,2.252,150.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.5302695536897928,-0.002303886413574219,1643549700000,2.263,2.2640000000000002,2.242,2.253,10598.58,2.253,124.42,2.254,150.0,2.246,144.44,2.245,1221.93
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-1.404995539696693,0.0009169578552246094,1643550000000,2.242,2.259,2.24,2.25,4376.46,2.257,1149.92,2.258,497.5,2.253,100.0,2.252,433.94
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.5333333333333338,0.00024404525756835938,1643550300000,2.25,2.256,2.25,2.253,346.27,2.258,1050.31,2.26,611.43,2.251,265.65,2.25,100.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.2661934338952975,0.00011572837829589843,1643550600000,2.254,2.26,2.25,2.26,2518.43,2.259,147.5,2.26,273.2,2.255,99.37,2.254,647.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.3320053120849863,0.00011181831359863281,1643550900000,2.259,2.261,2.242,2.242,2674.84,2.254,10.12,2.255,595.62,2.247,184.63,2.246,100.0
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.8682101513802248,-0.0005553722381591797,1643551200000,2.246,2.258,2.246,2.256,1448.85,2.265,146.5,2.266,28.13,2.26,441.46,2.259,44.19
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,1.5204936095196209,-0.00033516883850097655,1643551500000,2.269,2.276,2.267,2.27,5200.19,2.271,427.35,2.272,70.13,2.265,125.08,2.264,447.03
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,0.06607929515417775,0.0003620624542236328,1643551800000,2.27,2.272,2.25,2.251,4048.6,2.261,1128.62,2.262,8.67,2.257,10.51,2.256,427.35
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-1.6028495102404288,2.3365020751953125e-05,1643552100000,2.246,2.259,2.244,2.244,2745.86,2.246,900.0,2.248,44.37,2.242,8.94,2.241,8.92
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.6034868126955675,-0.0007791519165039062,1643552400000,2.237,2.237,2.222,2.2230000000000003,1974.89,2.228,427.35,2.229,44.94,2.223,11.87,2.222,223.69
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-1.148648648648642,-0.0011984825134277344,1643552700000,2.22,2.226,2.188,2.1959999999999997,39453.6,2.2,2657.14,2.202,100.0,2.197,11.0,2.196,493.5
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.7469443186962508,-0.006681108474731445,1643553000000,2.209,2.225,2.197,2.207,12404.32,2.197,9.72,2.198,472.88,2.191,514.16,2.19,1187.7
2.351,False,0,2.351,True,0,-0.15000000000000002,0,False,-0.4768392370572287,-0.006947660446166992,1643553300000,2.202,2.209,2.197,2.205,2423.29,2.207,63.17,2.209,45.33,2.205,9.23,2.202,74.97
