conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
0.5497,True,0,0.5497,True,0,0,0,False,15.99455040871934,0.0008120059967041016,1643217000000,0.5505,0.5509,0.5492,0.5496,94564.0,0.5497,634.0,0.5498,1421.0,0.5495,950.0,0.5494,154.0
0.5497,True,0,0.5497,False,0,0,0,False,-0.27297543221110127,0.1206401228904724,1643217300000,0.5495,0.5495,0.5463,0.5464,246177.0,0.547,1488.0,0.5472,1959.0,0.5465,538.0,0.5464,6245.0
0.5497,True,0,0.5497,False,0,0,0,False,-0.6855575868372796,0.1213358283042908,1643217600000,0.547,0.5479999999999999,0.5465,0.5472,71039.0,0.5473,950.0,0.5474,454.0,0.5471,950.0,0.547,14281.0
0.5497,True,0,0.5497,False,0,0,0,False,0.13698630136984793,0.12176564931869507,1643217900000,0.5475,0.5504,0.5475,0.5502,118998.0,0.5504,1045.0,0.5505,34976.0,0.5501,1404.0,0.55,2169.0
0.5497,True,0,0.5497,True,0,-0.15,0,False,0.7632200617844879,0.12183648347854614,1643218200000,0.5503,0.5503,0.5465,0.5465,129768.0,0.5459,1404.0,0.546,213.0,0.5455,259.0,0.5453,880.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-1.2090126396775853,0.12184427976608278,1643218500000,0.5459,0.5472,0.5445,0.5449,159093.0,0.5444,1059.0,0.5445,4211.0,0.5441,2303.0,0.544,48109.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-0.41329904482000096,0.0009742975234985352,1643218800000,0.5444,0.5461,0.5428,0.5449,243627.0,0.5446,1404.0,0.5447,950.0,0.5444,653.0,0.5443,2165.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,0.1376399339328471,0.00035729408264160154,1643219100000,0.5449,0.5452,0.5434,0.5444,322134.0,0.5449,950.0,0.545,45904.0,0.5447,454.0,0.5446,950.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-0.055076188727764555,-3.690719604492188e-05,1643219400000,0.5447,0.5447,0.5426,0.5437,157560.0,0.5439,1921.0,0.544,680.0,0.5436,1500.0,0.5435,2244.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-0.2758874379253267,-0.00011873245239257812,1643219700000,0.5437,0.5437,0.542,0.5424,92958.0,0.5423,300.0,0.5424,722.0,0.5421,680.0,0.542,44644.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-0.3872395353125457,-0.00013322830200195311,1643220000000,0.5423,0.5428,0.532,0.534,1020765.0,0.5341,782.0,0.5342,1125.0,0.5338,63847.0,0.5337,261.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-2.331460674157296,-0.00018677711486816406,1643220300000,0.534,0.5342,0.5202,0.5272,3227214.0,0.5287,2311.0,0.5288,1691.0,0.5282,5384.0,0.5281,3858.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-1.5897047691143213,-0.0003214836120605469,1643220600000,0.5284,0.5337,0.5282,0.5321,326445.0,0.5333,471.0,0.5334,1179.0,0.533,950.0,0.5329,1158.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,1.3503375843961065,-0.00039374828338623047,1643220900000,0.5332,0.5345,0.53,0.5308,168175.0,0.5313,280.0,0.5314,1633.0,0.531,950.0,0.5309,377.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-0.6214689265536666,-0.00040869712829589845,1643221200000,0.531,0.531,0.5274,0.5283,265864.0,0.5294,680.0,0.5296,594.0,0.5291,84.0,0.529,1460.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-0.5386505386505422,-0.0003986358642578125,1643221500000,0.5291,0.5298,0.5267,0.5293,162338.0,0.5294,3777.0,0.5295,950.0,0.5292,25.0,0.5291,454.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,0.08500188893085577,-0.00031213760375976564,1643221800000,0.5294,0.5309,0.5272,0.5279,75956.0,0.5279,950.0,0.528,2811.0,0.5276,1404.0,0.5275,1177.0
0.5497,True,0,0.5497,False,0,-0.15,0,False,-0.4262170865694106,-0.00017895698547363282,1643222100000,0.5279,0.5316,0.5277,0.5306,99473.0,0.5309,1556.0,0.531,322.0,0.5306,454.0,0.5305,4142.0
