conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
1.3782,True,0,1.3782,False,0,0,0,False,29.13097139538259,-0.005443000793457031,1643775000000,1.3774,1.3782,1.3741,1.3782,3845.0,1.3782,1647.0,1.3791,130.0,1.3746,15.0,1.3745,1251.0
1.3782,True,0,1.3782,False,0,0,0,False,0.07619185835572291,0.2661292552947998,1643775300000,1.3781,1.3782,1.3742,1.3742,7627.0,1.3757,190.0,1.3764,144.0,1.3743,428.0,1.3742,508.0
1.3782,True,0,1.3782,False,0,0,0,False,0.854978354978333,0.259602689743042,1643775600000,1.386,1.3899,1.386,1.3897,24548.0,1.3899,24542.0,1.39,5526.0,1.3897,24.0,1.3886,51.0
1.3782,True,0,1.3782,False,0,0,0,False,0.39936676980643704,0.26471261978149413,1643775900000,1.3897,1.3898,1.382,1.3845,11990.0,1.3873,156.0,1.3874,406.0,1.3838,15.0,1.3836,18.0
1.3782,False,0,1.3782,True,0,-0.15,0,False,-0.6613183000867296,0.26182875633239744,1643776200000,1.3836,1.3880000000000001,1.3801,1.3841,3990.0,1.3841,80.0,1.3845,741.0,1.3802,156.0,1.3801,190.0
1.3782,False,0,1.3782,True,0,-0.45923533098692815,0,False,-0.3259452411994667,0.2609922409057618,1643776500000,1.3806,1.3844,1.3772,1.3799,5547.0,1.3821,14.0,1.3826,97.0,1.3785,190.0,1.3784,881.0
1.3782,True,0,1.3782,False,0,-0.9081469070922464,0,False,-0.4905166775670316,-0.0031221866607666015,1643776800000,1.3761,1.3797,1.37,1.3716,18151.0,1.375,1278.0,1.3752,728.0,1.3715,190.0,1.37,728.0
1.3782,False,0,1.3782,True,0,-0.15,0,False,-0.623905429071808,-0.0017638683319091796,1643777100000,1.3704,1.3719,1.3638,1.3638,8840.0,1.3665,19.0,1.3666,922.0,1.3634,57.0,1.3628,53.0
1.3782,False,0,1.3782,True,0,-0.3102520454670241,0,False,-0.9472756645616277,-0.0046459674835205075,1643777400000,1.3618,1.3693,1.3618,1.364,4773.0,1.366,385.0,1.3665,310.0,1.363,15.0,1.3629,121.0
1.3782,False,0,1.3782,True,0,0.23062983910824641,0,False,0.810692375109561,-0.002724742889404297,1643777700000,1.3692,1.3718,1.365,1.365,5100.0,1.3686,190.0,1.3687,156.0,1.3651,190.0,1.365,1267.0
1.3782,False,0,1.3782,True,0,-0.5710834111251302,0,False,-0.16450976091248706,-0.001190185546875,1643778000000,1.3677,1.3679,1.3544,1.3597,16082.0,1.3612,13.0,1.3613,1295.0,1.3599,190.0,1.3598,81.0
