conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
0.3256,True,0,0.3256,False,0,0,0,False,0.6910319410319417,-0.00040705204010009765,1643574300000,0.3256,0.3258,0.3252,0.3257,8027.0,0.3256,1502.0,0.3258,6725.0,0.3254,3701.0,0.3253,1511.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.1383338456809203,0.06002973318099976,1643574600000,0.3253,0.3259,0.3253,0.3258,6077.0,0.3259,4060.0,0.326,4565.0,0.3255,9491.0,0.3254,4100.0
0.3256,True,0,0.3256,False,0,0,0,False,0.5970606246172796,0.060024154186248777,1643574900000,0.3266,0.327,0.3264,0.3266,118446.0,0.3271,2228.0,0.3272,5571.0,0.3268,5334.0,0.3267,4283.0
0.3256,True,0,0.3256,False,0,0,0,False,0.8675799086758049,0.060334599018096916,1643575200000,0.3285,0.3293,0.3285,0.3292,92228.0,0.3296,3322.0,0.3297,21341.0,0.3292,4088.0,0.3291,4283.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.5039706780696349,0.05994452238082887,1643575500000,0.3274,0.3279,0.3274,0.3279,8124.0,0.3279,10657.0,0.328,6644.0,0.3275,8029.0,0.3274,1880.0
0.3256,True,0,0.3256,False,0,0,0,False,0.6386861313868416,0.06297782659530639,1643575800000,0.3288,0.3292,0.3285,0.3292,5266.0,0.3293,5680.0,0.3294,4126.0,0.3291,476.0,0.3289,2600.0
0.3256,True,0,0.3256,False,0,0,0,False,0.9519492293744543,0.005643630027770996,1643576100000,0.3309,0.3309,0.3304,0.3309,23648.0,0.3307,5076.0,0.3308,4023.0,0.3304,6125.0,0.3303,1600.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.683060109289618,0.00607454776763916,1643576400000,0.3294,0.3297,0.3294,0.3295,3337.0,0.3295,1600.0,0.3296,4955.0,0.3291,5873.0,0.329,3362.0
0.3256,True,0,0.3256,False,0,0,0,False,-1.3323124042879082,0.005284547805786133,1643576700000,0.3265,0.3274,0.3262,0.3273,60407.0,0.3283,4447.0,0.3284,3941.0,0.328,6456.0,0.3279,9100.0
0.3256,True,0,0.3256,False,0,0,0,False,0.18354236769654853,0.004437685012817383,1643577000000,0.3269,0.3269,0.3266,0.3266,722.0,0.3271,2690.0,0.3272,4222.0,0.3268,2500.0,0.3267,847.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.22977941176470607,0.00159759521484375,1643577300000,0.3264,0.3272,0.3264,0.3269,986.0,0.3283,8010.0,0.3284,4279.0,0.3279,8408.0,0.3278,2482.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.8782742681047825,0.00045740604400634766,1643577600000,0.3245,0.3251,0.3239,0.3246,30581.0,0.325,8075.0,0.3251,4190.0,0.3246,5983.0,0.3245,1482.0
0.3256,True,0,0.3256,False,0,0,0,False,0.09239297813365167,-0.0007673501968383789,1643577900000,0.3247,0.3256,0.3247,0.3256,954.0,0.3244,1334.0,0.3245,1334.0,0.3241,1064.0,0.324,1334.0
0.3256,True,0,0.3256,False,0,0,0,False,0.13846153846154882,-0.00043277740478515626,1643578200000,0.325,0.3255,0.3246,0.3255,26564.0,0.3259,1834.0,0.326,3622.0,0.3255,3793.0,0.3254,4089.0
0.3256,True,0,0.3256,False,0,0,0,False,0.3683241252301876,-0.0003130674362182617,1643578500000,0.3258,0.3262,0.3258,0.3262,33550.0,0.326,6514.0,0.3261,5400.0,0.3257,7481.0,0.3256,1794.0
0.3256,True,0,0.3256,False,0,0,0,False,0.9606587374199662,-7.445812225341797e-05,1643578800000,0.3279,0.3279,0.3273,0.3273,2079.0,0.3272,6059.0,0.3273,33653.0,0.3268,3648.0,0.3267,1200.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.5509641873278395,0.0002191781997680664,1643579100000,0.3267,0.3267,0.3255,0.3255,10939.0,0.3257,60.0,0.3258,2200.0,0.3254,7341.0,0.3253,1432.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.877463054187198,0.00027976036071777346,1643579400000,0.3248,0.3248,0.324,0.324,11813.0,0.3245,2687.0,0.3246,9105.0,0.324,9397.0,0.3239,1200.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.4632489190858559,-0.0002280712127685547,1643579700000,0.3238,0.3243,0.3238,0.3239,44847.0,0.3248,9333.0,0.3249,487.0,0.3244,1200.0,0.3243,3667.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.09270704573546569,-0.00038034915924072265,1643580000000,0.3236,0.3245,0.3236,0.3245,5398.0,0.3248,4566.0,0.3249,4268.0,0.3243,9220.0,0.3242,3380.0
0.3256,True,0,0.3256,False,0,0,0,False,0.1389317690645365,-0.0003098964691162109,1643580300000,0.3239,0.3239,0.3236,0.3239,1715.0,0.3242,7547.0,0.3243,20813.0,0.3239,206.0,0.3238,1488.0
0.3256,True,0,0.3256,False,0,0,0,False,0.507692307692303,-0.0005943775177001953,1643580600000,0.325,0.3256,0.3244,0.3244,125016.0,0.3247,578.0,0.3249,22042.0,0.3244,8177.0,0.3243,7365.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.8353960396039715,-0.00016007423400878906,1643580900000,0.3232,0.3233,0.3225,0.3229,14693.0,0.3229,6107.0,0.323,1771.0,0.3226,1777.0,0.3225,5714.0
0.3256,True,0,0.3256,False,0,0,0,False,0.8307692307692417,-0.0003412723541259766,1643581200000,0.325,0.3257,0.325,0.3254,45640.0,0.3254,3728.0,0.3255,1080.0,0.3251,6151.0,0.325,1561.0
0.3256,True,0,0.3256,False,0,0,0,False,0.1383338456808947,0.000214385986328125,1643581500000,0.3253,0.3255,0.325,0.3251,19126.0,0.3257,3044.0,0.3258,3753.0,0.3252,4683.0,0.3251,3037.0
0.3256,True,0,0.3256,False,0,0,0,False,0.04609711124771566,0.00012598037719726562,1643581800000,0.3254,0.3254,0.3253,0.3253,1662.0,0.3255,2462.0,0.3256,2802.0,0.3252,4087.0,0.3251,1080.0
0.3256,True,0,0.3256,False,0,0,0,False,0.18416206261508103,0.00017883777618408204,1643582100000,0.3258,0.3262,0.3258,0.3262,402.0,0.3263,3683.0,0.3264,12595.0,0.3259,15513.0,0.3258,1080.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.3229775453706452,0.0003415584564208984,1643582400000,0.3251,0.3251,0.325,0.325,1080.0,0.3251,8615.0,0.3252,2802.0,0.3248,6449.0,0.3247,1477.0
0.3256,True,0,0.3256,False,0,0,0,False,-0.7418856259659924,0.0003443002700805664,1643582700000,0.3235,0.3242,0.3232,0.3242,35238.0,0.3242,24936.0,0.3243,1542.0,0.3239,394.0,0.3238,1080.0
