conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
135.69,True,0,135.69,False,0,0,0,False,-120.39079268743986,1.52587890625e-05,1643255400000,135.11,135.59,135.11,135.53,82.55,135.69,3.43,135.7,1.83,135.62,4.7,135.61,1.9
135.69,True,0,135.69,False,0,0,0,False,1.1348611723225792,28.928451538085938,1643255700000,136.14,136.22,135.87,136.0,115.88,136.06,1.9,136.07,0.7,136.0,0.1,135.97,0.74
135.69,True,0,135.69,False,0,0,0,False,-0.4950132003519968,28.343920898437506,1643256900000,136.36,136.59,136.0,136.1,260.75,135.96,11.89,135.97,1.64,135.83,7.02,135.82,0.7
135.69,True,0,135.69,False,0,0,0,False,0.3183315038419232,27.23926696777344,1643257200000,136.65,136.71,136.41,136.55,69.77,136.61,1.9,136.63,10.69,136.51,9.22,136.5,4.68
135.69,True,0,135.69,False,0,0,0,False,-1.2842276182744075,27.319229125976562,1643257500000,135.49,135.66,135.45,135.62,44.55,135.64,1.9,135.67,7.38,135.56,1.9,135.55,1.82
135.69,True,0,135.69,False,0,0,0,False,0.27626344482098125,27.141113281249993,1643257800000,135.74,135.92,135.72,135.92,36.59,135.69,1.9,135.72,0.1,135.61,0.7,135.59,3.68
135.69,True,0,135.69,False,0,0,0,False,0.33078506321668216,-0.2098846435546875,1643258100000,136.04,136.13,135.8,136.08,47.25,136.16,1.9,136.17,0.73,136.08,2.6,136.06,3.5
135.69,True,0,135.69,True,0,-0.15,0,False,0.4068616670332137,-2.6626800537109374,1643258400000,136.41,136.45,136.21,136.29,58.92,136.14,1.9,136.16,2.53,136.07,1.9,136.05,7.35
135.69,True,0,135.69,False,0,-0.15,0,False,-0.5629139072847581,-0.0068939208984375,1643258700000,135.9,136.13,135.9,136.13,37.04,136.56,4.27,136.57,2.21,136.49,4.11,136.48,0.7
135.69,True,0,135.69,True,0,-0.15,0,False,0.5936675461741338,-0.0496978759765625,1643259000000,136.44,136.54,136.44,136.52,10.88,136.63,0.73,136.67,5.8,136.6,0.08,136.59,2.6
135.69,True,0,135.69,False,0,-0.15,0,False,0.06593406593406843,0.1110565185546875,1643259300000,136.5,136.54,136.41,136.41,28.29,136.5,0.08,136.52,1.9,136.46,9.23,136.45,2.0
135.69,True,0,135.69,False,0,-0.15,0,False,-0.07696254489481036,0.111883544921875,1643259600000,136.43,136.66,136.36,136.66,261.9,136.59,1.9,136.61,7.73,136.52,1.01,136.5,5.76
135.69,True,0,135.69,True,0,-0.15,0,False,-0.02199252254234686,0.11004638671875,1643259900000,136.41,136.42,136.17,136.36,249.13,136.35,1.9,136.4,4.88,136.29,1.9,136.28,0.7
135.69,True,0,135.69,False,0,-0.15,0,False,-0.5186111519788129,0.0231170654296875,1643260200000,135.94,136.03,135.94,135.95,22.61,135.87,3.79,135.88,3.56,135.81,12.18,135.8,1.16
135.69,True,0,135.69,False,0,-0.15,0,False,-0.487084870848706,-0.006201171875,1643260500000,135.5,135.6,135.4,135.4,27.95,135.47,0.16,135.52,2.99,135.43,9.29,135.42,3.3
135.69,True,0,135.69,False,0,-0.15,0,False,0.6722503857174494,-0.1569732666015625,1643260800000,136.11,136.23,136.07,136.16,30.27,136.22,4.63,136.23,1.9,136.15,0.7,136.14,1.9
135.69,True,0,135.69,False,0,-0.15,0,False,0.07710383316198396,-0.0753662109375,1643261100000,136.18,136.34,136.03,136.15,86.98,136.06,3.8,136.08,1.69,136.03,0.7,136.0,3.1
135.69,True,0,135.69,False,0,-0.15,0,False,0.03303722193671661,-0.0960968017578125,1643261400000,136.21,136.38,136.21,136.25,31.83,136.45,23.52,136.48,7.33,136.4,2.66,136.35,7.33
135.69,True,0,135.69,False,0,-0.15,0,False,-0.13226541259461153,-0.019171142578125,1643261700000,136.09,136.17,135.99,136.04,40.36,135.94,0.08,136.02,1.39,135.93,2.24,135.92,2.64
135.69,True,0,135.69,False,0,-0.15,0,False,-0.8535323677209691,0.0127685546875,1643262000000,135.32,135.36,134.86,134.94,255.62,134.96,1.9,134.97,1.94,134.9,0.5,134.89,4.66
135.69,True,0,135.69,False,0,-0.15,0,False,0.01108401684772703,-0.013067626953125,1643262300000,135.33,135.63,135.3,135.3,70.8,135.42,1.9,135.43,1.94,135.37,0.7,135.36,1.9
135.69,True,0,135.69,False,0,-0.15,0,False,0.5961580922940959,-0.1282440185546875,1643262600000,135.87,135.91,135.66,135.66,56.61,135.68,1.9,135.7,12.48,135.61,1.9,135.6,2.0
135.69,True,0,135.69,False,0,-0.15,0,False,-0.6876155268022232,-0.0811981201171875,1643262900000,135.25,135.37,135.12,135.17,20.86,135.23,9.3,135.24,7.4,135.18,1.9,135.17,1.0
135.69,True,0,135.69,True,0,-0.15,0,False,0.06651393097332305,-0.193701171875,1643263200000,135.31,135.56,135.27,135.56,30.35,135.38,9.29,135.39,1.9,135.31,0.74,135.29,7.88
135.69,True,0,135.69,False,0,-0.15,0,False,-0.14425210830003934,-0.1042938232421875,1643263500000,135.18,135.18,134.76,134.94,185.21,134.91,0.12,134.94,1.9,134.87,1.9,134.83,2.25
135.69,True,0,135.69,False,0,-0.15,0,False,-0.4786641929499148,-0.06715087890625,1643263800000,134.75,134.82,134.64,134.82,63.49,134.84,10.2,134.85,4.32,134.8,0.08,134.77,1.9
135.69,True,0,135.69,False,0,-0.15,0,False,-0.21180142687276798,-0.02423095703125,1643264100000,134.56,134.89,134.56,134.62,268.72,134.85,12.31,134.86,0.74,134.79,8.25,134.78,3.13
135.69,True,0,135.69,False,0,-0.15,0,False,0.43349388662466065,-0.0915283203125,1643264400000,134.95,135.04,134.9,134.98,625.23,134.98,3.79,135.01,1.9,134.97,2.0,134.96,1.3
135.69,True,0,135.69,False,0,-0.15,0,False,-0.022233750833745434,-0.05712890625,1643264700000,134.93,134.94,134.83,134.83,37.91,134.75,1.98,134.79,1.9,134.71,1.3,134.69,4.44
135.69,True,0,135.69,False,0,-0.15,0,False,-0.4236343366778098,-0.092681884765625,1643265000000,134.55,135.04,134.55,134.84,296.73,134.95,3.12,134.97,1.9,134.92,2.3,134.91,16.2
135.69,True,0,135.69,False,0,-0.15,0,False,0.8314855875831485,-0.080023193359375,1643265300000,135.3,135.38,135.28,135.34,31.6,135.36,1.0,135.38,4.44,135.34,2.2,135.32,4.35
135.69,True,0,135.69,False,0,-0.15,0,False,0.8159364892678411,-0.05828857421875,1643265600000,136.04,136.27,135.95,136.17,116.56,136.2,3.06,136.23,1.9,136.18,3.38,136.17,96.22
135.69,True,0,135.69,False,0,-0.15,0,False,0.15420766632399924,0.187982177734375,1643265900000,136.18,136.26,136.08,136.24,118.26,136.37,2.0,136.38,4.51,136.29,3.3,136.28,18.3
135.69,True,0,135.69,False,0,-0.15,0,False,0.23095534863257522,0.1755035400390625,1643266200000,136.39,136.64,136.27,136.64,533.54,136.66,2.3,136.67,1.3,136.6,1.72,136.59,0.73
135.69,True,0,135.69,True,0,-0.15,0,False,0.2854006586169257,0.2867462158203125,1643266500000,136.65,136.66,136.51,136.55,33.16,136.46,5.52,136.49,8.58,136.4,28.11,136.39,0.73
135.69,True,0,135.69,False,0,-0.15,0,False,-0.3300330033003426,0.350335693359375,1643266800000,136.35,136.5,136.09,136.09,97.68,136.24,2.5,136.25,5.2,136.15,1.9,136.12,11.44
135.69,True,0,135.69,True,0,-0.15,0,False,0.10993037742762293,0.155340576171875,1643267100000,136.45,136.82,136.45,136.82,100.02,136.86,13.04,136.88,2.98,136.82,1.9,136.81,0.7
135.69,True,0,135.69,False,0,-0.15,0,False,-0.2532667743356223,0.1833709716796875,1643267400000,136.22,136.5,136.11,136.5,69.38,136.52,1.36,136.54,5.93,136.48,3.43,136.43,7.33
135.69,True,0,135.69,True,0,-0.15,0,False,-0.17639276789651248,0.0942962646484375,1643267700000,136.06,136.71,136.03,136.71,147.38,136.67,0.37,136.68,2.05,136.65,0.92,136.6,7.32
135.69,True,0,135.69,True,0,0.6146191556303506,0,False,1.3005464480874291,0.048370361328125,1643268000000,137.25,137.35,137.17,137.17,54.34,137.26,2.0,137.27,0.7,137.23,26.51,137.19,31.07
135.69,True,0,135.69,False,0,0.6146191556303506,0,False,-0.04372859121054446,0.05692138671875,1643268300000,137.21,137.85,137.21,137.59,172.54,137.65,1.9,137.66,20.8,137.56,1.9,137.55,7.27
135.69,True,0,135.69,True,0,-0.15,0,False,0.10924186148131343,0.24000244140625,1643268600000,137.31,137.33,137.03,137.12,370.51,137.25,9.47,137.26,28.29,137.15,1.9,137.14,2.6
135.69,True,0,135.69,True,0,0.49180327868853624,0,False,0.8364716106604977,0.095947265625,1643268900000,138.08,138.09,137.62,137.71,473.23,137.73,0.01,137.74,14.0,137.7,3.52,137.69,38.2
135.69,True,0,135.69,False,0,0.49180327868853624,0,False,0.24943966452171545,0.2155670166015625,1643269200000,138.31,138.79,138.21,138.62,403.99,138.66,6.7,138.67,7.22,138.65,0.11,138.6,8.73
135.69,True,0,135.69,False,0,0.49180327868853624,0,False,0.1949599249043326,0.2635284423828125,1643269500000,138.49,138.49,137.93,137.93,418.54,137.95,1.8,137.96,0.7,137.93,4.2,137.92,5.7
135.69,True,0,135.69,False,0,0.49180327868853624,0,False,-0.3256386135031602,0.228955078125,1643269800000,138.19,138.22,137.88,138.06,36.55,138.19,0.08,138.22,0.72,138.16,1.9,138.11,5.48
135.69,True,0,135.69,True,0,-0.15,0,False,0.5515501081470703,0.1278594970703125,1643270100000,138.7,138.71,138.48,138.6,284.03,138.6,1.4,138.61,4.0,138.55,9.93,138.52,2.27
135.69,True,0,135.69,False,0,-0.15,0,False,-0.7499456561118736,0.2691741943359375,1643270400000,138.01,138.11,137.45,137.71,214.54,137.58,12.33,137.59,1.9,137.51,6.51,137.5,19.74
135.69,True,0,135.69,True,0,-0.15,0,False,-0.6659388646288048,0.0255950927734375,1643270700000,137.4,137.4,137.14,137.37,95.09,137.24,0.08,137.29,0.73,137.23,0.23,137.19,38.2
135.69,True,0,135.69,True,0,0.590206936753134,0,False,0.41370300479024036,-0.1829742431640625,1643271000000,137.78,137.95,137.69,137.9,94.68,137.79,6.66,137.88,7.25,137.78,26.59,137.76,18.2
135.69,True,0,135.69,True,0,0.05464879044009763,0,False,0.542377784205959,0.0084808349609375,1643271300000,138.28,138.28,138.0,138.0,102.54,137.86,3.2,137.87,5.67,137.83,2.19,137.78,11.18
135.69,True,0,135.69,False,0,0.05464879044009763,0,False,-0.6318082788671161,0.0238861083984375,1643271600000,137.7,137.84,137.55,137.64,92.5,137.82,1.2,137.86,0.73,137.72,13.84,137.71,5.19
135.69,True,0,135.69,False,0,0.05464879044009763,0,False,-0.38223516563523224,-0.1096038818359375,1643271900000,137.35,137.83,137.35,137.72,153.79,137.7,1.9,137.71,14.81,137.65,0.72,137.61,4.48
135.69,True,0,135.69,False,0,0.05464879044009763,0,False,0.04367130067689648,-0.0065032958984375,1643272200000,137.39,137.4,137.29,137.3,119.8,137.25,7.78,137.29,7.29,137.24,3.09,137.2,2.89
135.69,True,0,135.69,False,0,0.05464879044009763,0,False,-0.7240547063555877,0.0335113525390625,1643272500000,136.73,136.84,136.32,136.7,714.24,136.63,2.0,136.67,6.82,136.57,0.7,136.56,8.8
135.69,True,0,135.69,False,0,0.05464879044009763,0,False,0.06579428320783932,-0.3143829345703125,1643272800000,136.79,137.0,136.55,137.0,343.91,137.09,1.9,137.12,0.8,137.02,3.2,137.01,13.5
135.69,True,0,135.69,False,0,0.05464879044009763,0,False,1.0237421041167478,-0.1618499755859375,1643273100000,137.73,138.09,137.54,137.95,176.71,137.93,0.01,138.04,0.96,137.92,20.24,137.91,15.98
135.69,True,0,135.69,False,0,0.05464879044009763,0,False,0.5317609607871608,-0.0926605224609375,1643273400000,138.22,138.31,138.16,138.3,83.96,138.37,3.9,138.38,1.7,138.25,2.6,138.24,31.46
135.69,True,0,135.69,True,0,-0.15,0,False,0.7558306939245487,0.1105316162109375,1643273700000,138.92,139.18,138.88,139.11,347.47,139.27,4.6,139.28,3.72,139.18,1.9,139.16,6.09
135.69,True,0,135.69,False,0,-0.15,0,False,0.4735935706085241,0.291412353515625,1643274000000,139.36,139.53,139.1,139.13,338.76,139.15,1.9,139.16,1.3,139.07,1.9,139.06,0.8
135.69,True,0,135.69,False,0,-0.15,0,False,-0.021530070331574096,0.5081146240234375,1643274300000,139.34,139.39,138.75,139.0,849.45,138.98,3.43,138.99,7.19,138.93,0.72,138.89,0.64
135.69,True,0,135.69,False,0,-0.15,0,False,-0.9097472924187763,0.3427276611328125,1643274600000,138.5,138.92,138.5,138.67,434.51,138.8,4.18,138.93,2.8,138.79,2.29,138.78,28.5
135.69,True,0,135.69,True,0,-0.15,0,False,0.7328639172294943,0.217919921875,1643274900000,139.18,139.33,138.9,138.9,403.84,138.82,3.86,138.92,6.1,138.81,3.96,138.78,2.16
135.69,True,0,135.69,False,0,-0.15,0,False,0.021551724137911434,0.13175048828125,1643275200000,139.2,139.28,138.68,138.83,273.92,138.9,3.9,138.91,1.9,138.82,1.0,138.81,1.9
135.69,True,0,135.69,True,0,-0.15,0,False,0.3547624166845974,0.0265777587890625,1643275500000,139.53,139.59,139.27,139.37,300.17,139.32,6.66,139.4,1.9,139.31,1.94,139.28,0.72
135.69,True,0,135.69,True,0,0.043066322136098734,0,False,0.1503544068160518,0.03575439453125,1643275800000,139.67,139.71,139.36,139.51,68.46,139.43,1.9,139.44,1.9,139.36,0.76,139.35,1.9
135.69,True,0,135.69,False,0,0.043066322136098734,0,False,-0.6796605293440687,0.081109619140625,1643276100000,139.04,139.18,139.01,139.05,59.15,139.03,0.08,139.05,1.18,139.0,1.85,138.96,5.0
135.69,True,0,135.69,True,0,-0.15,0,False,0.34443168771529303,0.0758331298828125,1643276400000,139.36,139.5,139.28,139.5,24.71,139.39,1.1,139.45,1.81,139.32,1.75,139.31,1.9
135.69,True,0,135.69,False,0,-0.15,0,False,0.22569320054450764,0.1077606201171875,1643276700000,139.57,139.74,139.36,139.45,232.78,139.6,7.84,139.64,1.16,139.51,1.9,139.5,4.72
135.69,True,0,135.69,False,0,-0.15,0,False,-0.45274883219545903,0.10618896484375,1643277000000,139.15,139.25,139.03,139.16,170.55,139.22,0.08,139.26,13.58,139.16,14.37,139.15,2.77
135.69,True,0,135.69,True,0,-0.15,0,False,-0.053918044572262444,-0.0171661376953125,1643277300000,139.1,139.15,139.06,139.06,70.81,138.87,2.08,138.88,1.9,138.84,1.9,138.83,5.54
135.69,True,0,135.69,False,0,-0.15,0,False,-0.07552326835933955,-0.063397216796875,1643277600000,139.03,139.03,138.85,138.87,52.22,138.88,22.21,138.91,9.07,138.87,1.81,138.82,1.9
135.69,True,0,135.69,False,0,-0.15,0,False,-0.5740072202166078,-0.0241790771484375,1643277900000,138.5,138.67,138.42,138.67,197.25,138.78,2.4,138.79,2.0,138.74,0.08,138.7,2.4
135.69,True,0,135.69,False,0,-0.15,0,False,0.4104262672811011,-0.137994384765625,1643278200000,138.88,138.94,138.81,138.85,49.66,138.78,1.54,138.84,7.2,138.74,1.96,138.69,2.56
135.69,True,0,135.69,False,0,-0.15,0,False,-0.08645533141208654,-0.0846435546875,1643278500000,138.8,138.96,138.8,138.89,72.56,138.66,3.03,138.67,0.7,138.62,0.49,138.56,3.94
135.69,True,0,135.69,False,0,-0.15,0,False,-0.5314149374593403,-0.051824951171875,1643278800000,138.31,138.5,138.23,138.29,109.91,138.28,1.9,138.35,7.23,138.26,35.24,138.24,0.7
135.69,True,0,135.69,False,0,-0.15,0,False,-0.7192154013803086,-0.160833740234375,1643279100000,137.65,138.0,137.61,137.86,317.58,138.0,2.1,138.02,0.72,137.98,1.9,137.97,1.53
135.69,True,0,135.69,False,0,-0.15,0,False,0.4129537057161437,-0.25677490234375,1643279400000,138.03,138.03,137.84,137.88,84.32,137.73,1.7,137.74,3.53,137.66,0.73,137.62,4.44
135.69,True,0,135.69,False,0,-0.15,0,False,-0.6439173457508769,-0.095849609375,1643279700000,137.44,137.61,137.44,137.52,16.63,137.6,1.9,137.61,3.47,137.5,1.9,137.49,2.0
135.69,True,0,135.69,False,0,-0.15,0,False,0.39187227866474633,-0.232830810546875,1643280000000,137.8,137.8,137.56,137.56,77.47,137.6,6.66,137.61,9.86,137.58,0.08,137.52,5.76
135.69,True,0,135.69,False,0,-0.15,0,False,-0.45858203523076424,-0.195721435546875,1643280300000,137.38,137.6,137.38,137.57,237.02,137.7,0.28,137.77,30.8,137.68,0.16,137.67,1.9
135.69,True,0,135.69,False,0,-0.15,0,False,0.2942244823828662,-0.115496826171875,1643280600000,137.65,137.65,137.36,137.44,142.85,137.52,4.6,137.53,0.5,137.49,0.08,137.47,2.0
