conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
18.31,True,0,18.31,True,0,0,0,False,22.032520325203247,-0.0232086181640625,1643217000000,18.45,18.45,18.31,18.31,5905.52,18.31,68.7,18.32,154.99,18.3,28.4,18.29,294.44
18.31,True,0,18.31,False,0,0,0,False,-1.1469142545057394,3.3424396514892587,1643217300000,18.31,18.33,18.25,18.26,2971.91,18.26,218.11,18.27,332.91,18.24,147.37,18.23,297.99
18.31,True,0,18.31,False,0,0,0,False,-0.4107338444687608,3.445568084716796,1643217600000,18.26,18.3,18.19,18.19,2628.54,18.19,10.0,18.2,438.67,18.18,8.8,18.17,86.23
18.31,True,0,18.31,False,0,0,0,False,-0.5772402418911513,3.540019989013671,1643217900000,18.19,18.25,18.19,18.24,2011.75,18.25,1679.03,18.26,379.72,18.23,211.13,18.22,195.02
18.31,True,0,18.31,False,0,0,0,False,0.24698133918768594,3.588812637329101,1643218200000,18.22,18.24,17.98,17.99,5404.88,17.99,80.3,18.0,284.82,17.97,52.25,17.96,415.05
18.31,True,0,18.31,False,0,0,0,False,-2.0868113522537564,3.563010406494141,1643218500000,17.97,18.03,17.86,17.86,7807.51,17.86,363.28,17.87,116.56,17.85,1.33,17.84,299.81
18.31,True,0,18.31,False,0,0,0,False,-1.0084033613445162,0.23009033203125,1643218800000,17.85,17.98,17.77,17.98,7604.15,17.97,83.19,17.98,315.21,17.96,165.31,17.95,150.44
18.31,True,0,18.31,False,0,0,0,False,1.0016694490817817,0.15607757568359376,1643219100000,17.97,17.98,17.89,17.94,1760.11,17.96,58.15,17.97,271.63,17.94,184.55,17.93,922.34
18.31,True,0,18.31,False,0,0,0,False,-0.2508361204013176,0.06522102355957031,1643219400000,17.94,17.98,17.91,17.94,701.23,17.96,250.91,17.97,406.6,17.94,1.41,17.93,66.16
18.31,True,0,18.31,False,0,0,0,False,0.1670378619153639,-0.031976318359375,1643219700000,17.96,17.99,17.92,17.99,884.5,17.99,750.01,18.0,743.82,17.97,236.99,17.96,1901.28
18.31,True,0,18.31,False,0,0,0,False,0.2501389660922534,-0.04695701599121094,1643220000000,17.99,18.0,17.64,17.72,10291.52,17.66,11.78,17.67,55.64,17.64,17.23,17.63,99.56
18.31,True,0,18.31,False,0,0,0,False,-2.976190476190458,-0.04918251037597656,1643220300000,17.64,17.73,17.59,17.68,6218.75,17.74,90.22,17.76,255.36,17.73,0.6,17.72,13.71
18.31,True,0,18.31,False,0,0,0,False,0.8455467869221918,-0.043899917602539064,1643220600000,17.74,17.85,17.73,17.79,3111.15,17.81,8.31,17.82,447.94,17.78,383.97,17.77,496.79
18.31,True,0,18.31,True,0,-0.15,0,False,0.4215851602023669,-0.03805198669433594,1643220900000,17.79,17.85,17.73,17.75,1784.0,17.74,45.39,17.75,5.63,17.73,103.95,17.72,401.52
18.31,True,0,18.31,False,0,-0.15,0,False,-0.5076142131979587,-0.038317108154296876,1643221200000,17.73,17.73,17.57,17.58,14944.58,17.6,185.79,17.61,400.39,17.57,105.73,17.56,13.71
18.31,True,0,18.31,False,0,-0.15,0,False,-1.2798634812286873,-0.04670028686523438,1643221500000,17.58,17.63,17.53,17.63,2431.55,17.63,311.76,17.64,378.92,17.61,126.19,17.6,807.24
18.31,True,0,18.31,True,0,-0.15000000000000002,0,False,0.2555366269165344,-0.0460205078125,1643221800000,17.61,17.65,17.52,17.57,2998.68,17.58,216.53,17.59,875.88,17.55,123.02,17.54,129.26
18.31,True,0,18.31,False,0,-0.15000000000000002,0,False,-0.3414911781445573,-0.04370613098144531,1643222100000,17.57,17.63,17.54,17.6,1089.34,17.6,95.67,17.61,246.84,17.59,2.0,17.58,117.6
18.31,True,0,18.31,True,0,-0.15000000000000002,0,False,0.1705514496873187,-0.0378265380859375,1643222400000,17.59,17.65,17.53,17.61,1579.15,17.58,152.15,17.59,50.0,17.56,50.67,17.55,152.8
18.31,True,0,18.31,False,0,-0.15000000000000002,0,False,-0.17074558907227866,-0.029894256591796876,1643222700000,17.57,17.61,17.53,17.59,990.77,17.6,453.33,17.61,390.76,17.57,132.19,17.56,132.53
18.31,True,0,18.31,False,0,-0.15000000000000002,0,False,0.0853242320818943,-0.022157669067382812,1643223000000,17.58,17.92,17.58,17.83,8066.48,17.87,83.12,17.88,742.04,17.84,100.25,17.83,29.74
18.31,True,0,18.31,True,0,-0.15,0,False,2.1860986547085335,-0.006140899658203125,1643223300000,17.84,17.84,17.6,17.81,6919.35,17.82,323.74,17.83,518.2,17.79,59.99,17.78,222.59
18.31,True,0,18.31,False,0,-0.15,0,False,-0.4215851602023669,0.011034774780273437,1643223600000,17.79,18.61,17.77,18.35,40172.15,18.38,451.76,18.4,88.68,18.35,66.52,18.34,278.34
18.31,True,0,18.31,False,0,-0.15,0,False,4.735982580293973,0.05631942749023437,1643223900000,18.37,18.75,18.3,18.75,14821.69,18.71,23.76,18.72,98.59,18.69,1.06,18.68,33.97
18.31,True,0,18.31,True,0,-0.15,0,False,2.5682182985553794,0.10943832397460937,1643224200000,18.69,18.69,18.0,18.0,13202.53,17.96,27.69,17.97,5.57,17.94,56.8,17.91,2.11
18.31,True,0,18.31,True,0,0.5846325167037776,0,False,-6.183844011142078,0.11983795166015625,1643224500000,17.95,18.24,17.82,18.03,14009.04,18.11,84.58,18.13,67.24,18.03,35.89,18.01,13.59
18.31,True,0,18.31,True,0,1.5868596881959718,0,False,0.8310249307479343,0.12034988403320312,1643224800000,18.05,18.25,18.03,18.24,4743.12,18.29,63.02,18.31,40.29,18.22,208.53,18.21,19.66
18.31,True,0,18.31,True,0,0.9187082405345279,0,False,1.9682886823400638,0.10495071411132813,1643225100000,18.29,18.43,18.22,18.36,6266.88,18.36,136.94,18.37,407.65,18.33,55.45,18.32,33.45
18.31,True,0,18.31,True,0,-1.8374164810690559,0,False,0.3273322422258523,0.07573890686035156,1643225400000,18.33,18.33,18.05,18.05,2998.7,18.15,22.37,18.16,55.8,18.11,62.54,18.1,33.32
18.31,True,0,18.31,True,0,1.5033407572383055,0,False,-1.5711135611907199,0.02690544128417969,1643225700000,18.14,18.36,18.03,18.35,4727.54,18.32,75.9,18.33,36.47,18.29,142.66,18.27,27.95
18.31,True,0,18.31,True,0,-1.9209354120267221,0,False,1.4737991266375523,0.00538330078125,1643226000000,18.32,18.34,18.08,18.12,2207.81,18.09,55.52,18.1,22.96,18.06,16.82,18.05,10.0
