conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
2.4117,True,0,2.4117,True,0,0,0,False,0.0,-0.009721899032592773,1643217000000.0,2.4258,2.4261,2.4135,2.4135,206198.0,2.4117,94.0,2.4118,1977.0,2.4111,103.0,2.411,314.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.9145203434117445,0.47883734703063974,1643217300000.0,2.4111,2.4207,2.3979,2.4037,614042.0,2.4014,380.0,2.4015,339.0,2.4007,879.0,2.4004,663.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.6184407796101962,0.4786840915679932,1643217600000.0,2.4012,2.4095,2.3956,2.396,425607.0,2.397,261.0,2.3971,1208.0,2.3965,380.0,2.3964,1600.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.2690975843798082,0.47803401947021484,1643217900000.0,2.3969,2.405,2.3955,2.3986,288735.0,2.3995,266.0,2.3996,4655.0,2.3991,374.0,2.399,535.0
2.4117,True,0,2.4117,False,0,0,0,False,0.10631201534228517,0.4773348331451417,1643218200000.0,2.3986,2.3999,2.3822,2.3831,374365.0,2.3805,21.0,2.3806,539.0,2.3801,211.0,2.38,511.0
2.4117,True,0,2.4117,False,0,0,0,False,-1.127819548872182,0.4765765190124512,1643218500000.0,2.3807,2.3907,2.3754,2.3769,522007.0,2.3772,11960.0,2.3776,32.0,2.3771,47.0,2.377,808.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.22084805653709214,-0.0029477596282958983,1643218800000.0,2.3772,2.3944,2.3723,2.3916,534963.0,2.3909,1834.0,2.391,42.0,2.3899,66.0,2.3898,305.0
2.4117,True,0,2.4117,False,0,0,0,False,0.8470322499686048,-0.002099132537841797,1643219100000.0,2.3907,2.3954,2.3769,2.3826,456225.0,2.3841,120.0,2.3845,335.0,2.3837,67.0,2.3836,305.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.4468031548917531,-0.0017782211303710937,1643219400000.0,2.3836,2.3851,2.37,2.3754,396214.0,2.3758,185.0,2.376,1502.0,2.3753,421.0,2.3751,421.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.5241443186123701,-0.0016541004180908204,1643219700000.0,2.3753,2.379,2.3723,2.3757,533238.0,2.3744,2289.0,2.3745,535.0,2.3741,266.0,2.374,68.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.056856469002703185,-0.0007749557495117188,1643220000000.0,2.3744,2.38,2.33,2.3393,1944407.0,2.3354,735.0,2.3358,711.0,2.3348,13.0,2.3345,10.0
2.4117,True,0,2.4117,False,0,0,0,False,-2.5049242099854507,-0.0019701004028320314,1643220300000.0,2.3354,2.3367,2.306,2.326,2354059.0,2.3273,79.0,2.3274,94.0,2.3272,25.0,2.3271,1022.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.5220641945602054,-0.004265928268432617,1643220600000.0,2.3273,2.339,2.3258,2.3316,665223.0,2.3326,30.0,2.3329,157.0,2.3325,1607.0,2.3324,516.0
2.4117,True,0,2.4117,False,0,0,0,False,0.3344051446945255,-0.0050449371337890625,1643220900000.0,2.3325,2.3369999999999997,2.3123,2.3189,1430325.0,2.3197,856.0,2.3198,192.0,2.3195,52.0,2.3194,749.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.8406984263849903,-0.004842329025268555,1643221200000.0,2.3195,2.3195,2.2951,2.3016,1473914.0,2.3072,346.0,2.3073,13.0,2.3071,1174.0,2.307,38.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.8062069264444518,-0.005545806884765625,1643221500000.0,2.3071,2.3088,2.2903,2.3087,1057227.0,2.3075,1287.0,2.3077,1605.0,2.3066,263.0,2.3065,78.0
2.4117,True,0,2.4117,False,0,0,0,False,0.01950247031288972,-0.004103994369506836,1643221800000.0,2.3074,2.3194,2.2959,2.3013,633319.0,2.3,61.0,2.3003,173.0,2.2996,86.0,2.2995,134.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.48260869565217873,-0.0029880046844482423,1643222100000.0,2.3,2.3043,2.2926,2.2926,597679.0,2.2941,1994.0,2.2942,963.0,2.2933,321.0,2.2932,538.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.37921715630719677,-0.003769683837890625,1643222400000.0,2.2942,2.3049,2.2855,2.2937,735053.0,2.2923,1600.0,2.2924,1650.0,2.2916,227.0,2.2915,487.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.12432927627274001,-0.004317760467529297,1643222700000.0,2.2923,2.3003,2.2824,2.291,862589.0,2.2898,172.0,2.2899,44.0,2.2894,221.0,2.2893,1600.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.1637697615512237,-0.005577898025512696,1643223000000.0,2.2898,2.388,2.2859,2.3563,4095059.0,2.355,380.0,2.3551,126.0,2.3541,196.0,2.354,26.0
2.4117,True,0,2.4117,False,0,0,0,False,4.115698267074412,-0.0017975330352783202,1643223300000.0,2.3544,2.3613,2.3168,2.3415,1943615.0,2.3398,2143.0,2.3399,273.0,2.3389,17.0,2.3386,214.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.9230769230769353,-0.004273128509521484,1643223600000.0,2.34,2.4611,2.333,2.4556,8565358.0,2.4576,357.0,2.4577,160.0,2.4564,329.0,2.4562,400.0
2.4117,True,0,2.4117,False,0,0,0,False,7.10796287249634,0.000647735595703125,1643223900000.0,2.4564,2.58,2.45,2.5741,9822582.0,2.5593,2635.0,2.5594,1798.0,2.5577,630.0,2.5576,251.0
2.4117,True,0,2.4117,False,0,0,0,False,5.895811334037325,0.015622138977050781,1643224200000.0,2.5569,2.5603,2.4097,2.4129,6995374.0,2.3949,198.0,2.395,2875.0,2.3931,764.0,2.3922,208.0
2.4117,True,0,2.4117,False,0,0,0,False,-10.173313844226373,0.013433218002319336,1643224500000.0,2.3945,2.4445,2.3457,2.3855,8745986.0,2.3894,945.0,2.391,128.0,2.3872,251.0,2.387,461.0
2.4117,True,0,2.4117,False,0,0,0,False,-0.37680552648104143,0.00990605354309082,1643224800000.0,2.3885,2.4151,2.3839,2.4119,2593397.0,2.426,16.0,2.4261,9.0,2.4241,251.0,2.424,913.0
2.4117,True,0,2.4117,False,0,0,0,False,2.0502973240832585,0.004871559143066406,1643225100000.0,2.4216,2.48,2.4216,2.4484,4864074.0,2.4534,1732.0,2.4535,454.0,2.4523,1670.0,2.4521,880.0
2.4117,True,0,2.4117,False,0,0,0,False,1.865747726438561,0.0036953449249267577,1643225400000.0,2.4521,2.463,2.4071,2.4156,2225517.0,2.4225,10.0,2.4229,101.0,2.4206,8.0,2.4205,1150.0
2.4117,True,0,2.4117,False,0,0,0,False,-2.071360648282155,-0.005243539810180664,1643225700000.0,2.4187,2.4751,2.4,2.4525,3239203.0,2.4515,2426.0,2.4522,498.0,2.4506,56.0,2.4502,498.0
2.4117,True,0,2.4117,True,0,-0.15,0,False,1.8316589071306075,0.0023956298828125,1643226000000.0,2.4486,2.46,2.4185,2.4238,1899461.0,2.4171,1769.0,2.4172,1238.0,2.415,7272.0,2.4149,126.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-2.011422895455673,0.010349512100219727,1643226300000.0,2.4162,2.4344,2.3639,2.372,4135958.0,2.358,84.0,2.3582,661.0,2.3569,152.0,2.3566,2341.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-3.6045772409408614,0.007866001129150391,1643226600000.0,2.3595,2.3896,2.3534,2.3798,2146437.0,2.3762,648.0,2.3764,537.0,2.3737,1313.0,2.3736,70.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,1.2170001681520013,0.0016981601715087891,1643226900000.0,2.3788,2.3788,2.3558,2.3581,1004826.0,2.3596,436.0,2.3598,42.0,2.3587,3172.0,2.3579,136.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.1949152542372978,-0.000971841812133789,1643227200000.0,2.36,2.3621,2.2865,2.3004,4645060.0,2.3043,2037.0,2.3059,244.0,2.3042,301.0,2.304,552.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-3.5925026032627363,-0.006342267990112305,1643227500000.0,2.3048,2.3252,2.2854,2.2867,3009921.0,2.2831,470.0,2.2832,20971.0,2.2825,345.0,2.2822,268.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.4787714148008564,-0.012202024459838867,1643227800000.0,2.2823,2.3176,2.2765,2.2935,1593715.0,2.293,13.0,2.2934,20.0,2.2926,1177.0,2.2924,122.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.6478492278160441,-0.00740971565246582,1643228100000.0,2.2922,2.305,2.2387,2.2455,4631291.0,2.2498,322.0,2.2499,606.0,2.2493,84.0,2.2488,127.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-3.0991183542612726,-0.008519840240478516,1643228400000.0,2.2458,2.263,2.2323,2.2607,2742015.0,2.258,1284.0,2.2581,1783.0,2.2562,1176.0,2.2561,287.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.750963625891622,-0.00924854278564453,1643228700000.0,2.2571,2.3236,2.2492,2.2992,2787530.0,2.3063,13.0,2.3064,290.0,2.3055,403.0,2.3052,108.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,3.1871991674255193,-0.006247711181640625,1643229000000.0,2.3061,2.33,2.282,2.2821,2160590.0,2.2769,380.0,2.277,1229.0,2.2755,120.0,2.2751,197.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.7370706671930356,-0.004708719253540039,1643229300000.0,2.2797,2.2983,2.2578,2.2832,1419368.0,2.2801,380.0,2.2802,2488.0,2.279,48.0,2.2786,274.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.08558637640449958,-0.005500650405883789,1643229600000.0,2.2784,2.2998,2.2718,2.2886,1015854.0,2.2867,488.0,2.2868,635.0,2.2859,48.0,2.2856,5.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.5379165573340321,-0.003552103042602539,1643229900000.0,2.2866,2.2942,2.2714,2.2771,1101562.0,2.2827,1022.0,2.2828,5.0,2.2817,85.0,2.2814,302.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.11817226890755,-0.003140115737915039,1643230200000.0,2.2848,2.2929,2.27,2.2929,719309.0,2.2893,98.0,2.2894,1712.0,2.2884,52.0,2.2883,488.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.44510385756674564,-0.0041048526763916016,1643230500000.0,2.2916,2.2949,2.2758,2.2877,548557.0,2.2845,306.0,2.2846,1064.0,2.2835,419.0,2.2834,1468.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.4398441944942839,-0.0040629863739013675,1643230800000.0,2.2849,2.31,2.2813,2.3005,1065079.0,2.3084,3153.0,2.3086,1433.0,2.3071,380.0,2.307,483.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,1.3918397433117893,-0.0009359836578369141,1643231100000.0,2.3063,2.3197,2.286,2.2987,960293.0,2.2984,98.0,2.2988,1624.0,2.2973,1646.0,2.2971,1561.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.5286746149160065,0.00042996406555175783,1643231400000.0,2.2982,2.3037,2.29,2.2937,344215.0,2.2924,56.0,2.2926,11.0,2.292,91.0,2.2918,642.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.3860751210574543,0.0018734931945800781,1643231700000.0,2.2923,2.3008,2.27,2.27,632341.0,2.272,16.0,2.2721,95.0,2.2706,118.0,2.2705,1757.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.280302696995034,0.001241159439086914,1643232000000.0,2.2729,2.2738,2.2541,2.2587,1289012.0,2.2554,104.0,2.2555,370.0,2.2547,13.0,2.2546,9.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.2175108666725794,-0.0005680561065673828,1643232300000.0,2.2546,2.2731,2.25,2.2725,1075187.0,2.2678,517.0,2.2679,1447.0,2.267,66.0,2.2669,10.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.9453920401956882,-0.0010768890380859375,1643232600000.0,2.2689,2.2706,2.2434,2.2435,1538394.0,2.2434,6.0,2.2441,1468.0,2.2426,2196.0,2.2425,1642.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.8403676273757377,-0.002199697494506836,1643232900000.0,2.2414,2.2495,2.2141,2.2161,2007519.0,2.2176,1801.0,2.2179,519.0,2.2167,9.0,2.2166,764.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.5415126656450118,-0.003175020217895508,1643233200000.0,2.2186,2.2311,2.2081,2.2137,985889.0,2.2137,74.0,2.2138,295.0,2.2126,380.0,2.2125,281.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.38637082561345104,-0.002633190155029297,1643233500000.0,2.2129,2.2173,2.1863,2.1886,1956046.0,2.1821,504.0,2.1822,404.0,2.1815,68.0,2.1809,68.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-1.5961819510412776,-0.0038293838500976563,1643233800000.0,2.1896,2.2065,2.1744,2.1893,2060399.0,2.19,321.0,2.1901,443.0,2.1888,104.0,2.1887,672.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.10282893834834264,-0.005266427993774414,1643234100000.0,2.1881,2.1994,2.1799,2.1873,782687.0,2.1848,1284.0,2.1849,79.0,2.1842,36.0,2.1841,515.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.20594023156835708,-0.0059621334075927734,1643234400000.0,2.1851,2.2139,2.1796,2.2078,1723181.0,2.2099,27.0,2.21,963.0,2.2088,717.0,2.2087,634.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,1.6766223187618903,-0.0034165382385253906,1643234700000.0,2.2098,2.2127,2.1929,2.1997,1328030.0,2.207,56.0,2.2071,11.0,2.2064,58.0,2.2063,1629.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,-0.30608080533261944,-0.002991199493408203,1643235000000.0,2.2053,2.2131,2.1995,2.2066,612971.0,2.2064,31.0,2.2066,250.0,2.2058,473.0,2.2057,2467.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.07478245105149345,-0.0018417835235595703,1643235300000.0,2.2064,2.2248,2.2,2.2248,885456.0,2.224,132.0,2.2241,198.0,2.2231,67.0,2.223,4684.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,1.1134104098250155,-0.0003120899200439453,1643235600000.0,2.2229,2.2277,2.2159999999999997,2.2214,568796.0,2.2233,81.0,2.2234,5.0,2.2231,856.0,2.2226,138.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.06070689810235562,-0.00016760826110839844,1643235900000.0,2.2238,2.2285,2.2119,2.228,527676.0,2.2281,361.0,2.2282,441.0,2.228,9515.0,2.2278,2148.0
2.4117,True,0,2.4117,False,0,-0.15,0,False,0.2894843139894808,-0.0005910396575927734,1643236200000.0,2.2281,2.2447,2.2277,2.2341,844742.0,2.2345,165.0,2.2346,667.0,2.2343,40.0,2.2342,214.0
2.4117,True,0,2.4117,True,0,-0.15,0,False,0.4028467839398568,-0.0003587245941162109,1643236500000.0,2.2341,2.2554,2.2336,2.253,468988.0,2.2549,118.0,2.2557,38.0,2.2538,518.0,2.2536,1755.0
