conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
1.6002,True,0,1.6002,False,0,0,0,False,0.3195889209174147,-0.0003358364105224609,1643574300000,1.5958,1.6071,1.5898,1.6,22833.0,1.6002,62.0,1.6003,255.0,1.5983,36.0,1.5982,33.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.3769317753486622,0.30323057174682616,1643574600000,1.5918,1.595,1.5884,1.5918,1423.0,1.5915,36.0,1.5916,62.0,1.5897,248.0,1.5896,413.0
1.6002,True,0,1.6002,False,0,0,0,False,-1.4365446819306253,0.30256342887878424,1643574900000,1.5767,1.5788,1.5756,1.5788,10998.0,1.5772,255.0,1.5775,63.0,1.5758,14.0,1.5757,255.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.5538226494366313,0.3024968147277832,1643575200000,1.5709,1.571,1.5679,1.5688,2351.0,1.5702,63.0,1.5703,255.0,1.5694,11.0,1.5684,230.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.8643319034509153,0.3024870872497558,1643575500000,1.5619,1.5622,1.561,1.5622,495.0,1.5622,389.0,1.5633,63.0,1.5619,96.0,1.5618,141.0
1.6002,True,0,1.6002,False,0,0,0,False,0.9068346697212526,0.3024904251098633,1643575800000,1.5714,1.5751,1.5714,1.5751,592.0,1.5747,255.0,1.5748,3090.0,1.5737,255.0,1.5701,63.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.29649939424853794,-0.0003475189208984375,1643576100000,1.5683,1.5696,1.5644,1.5696,10096.0,1.5675,63.0,1.5677,255.0,1.5645,318.0,1.5644,77.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.287484827189687,-9.622573852539063e-05,1643576400000,1.5653,1.5663,1.5653,1.5663,595.0,1.5664,368.0,1.5678,63.0,1.5649,255.0,1.5648,63.0
1.6002,True,0,1.6002,False,0,0,0,False,-2.16785482825662,-3.6096572875976564e-05,1643576700000,1.5430000000000001,1.5519,1.5397,1.551,7190.0,1.5531,64.0,1.5532,27.0,1.5508,13.0,1.5507,64.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.1849328401791157,-6.842613220214844e-05,1643577000000,1.5411,1.548,1.541,1.5473,8425.0,1.5481,7.0,1.5487,8.0,1.5474,193.0,1.5473,141.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.37077993885381544,-9.264945983886719e-05,1643577300000,1.5373,1.538,1.5373,1.5373,1018.0,1.5389,20.0,1.539,12.0,1.5375,10.0,1.5374,716.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.7748136524127126,-0.00010981559753417969,1643577600000,1.5294,1.5294,1.5238,1.5269,9886.0,1.5262,320.0,1.5265,255.0,1.5244,24.0,1.5243,65.0
1.6002,True,0,1.6002,False,0,0,0,False,0.058823529411758224,-0.00011963844299316407,1643577900000,1.53,1.5338,1.53,1.5323,2217.0,1.5282,255.0,1.5283,65.0,1.5268,320.0,1.5267,65.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.4819356107796335,-0.00011410713195800782,1643578200000,1.5251,1.5251,1.5242,1.5248,6330.0,1.5265,65.0,1.5266,24.0,1.524,7.0,1.5239,65.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.03935200367284934,-0.00010528564453125,1643578500000,1.5247,1.5247,1.5235,1.5235,3900.0,1.5236,255.0,1.5271,65.0,1.5218,1.0,1.5217,30.0
1.6002,True,0,1.6002,False,0,0,0,False,1.4613236344742602,-0.000107574462890625,1643578800000,1.5397,1.5397,1.537,1.537,2075.0,1.5348,7.0,1.537,64.0,1.5346,297.0,1.5341,65.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.9213879631444888,-9.608268737792969e-05,1643579100000,1.5303,1.5325,1.53,1.5325,841.0,1.5323,65.0,1.5324,24.0,1.5303,65.0,1.5302,34.0
1.6002,True,0,1.6002,False,0,0,0,False,0.17622870569806381,-8.649826049804688e-05,1643579400000,1.5321,1.5337,1.5307,1.5307,212.0,1.5321,320.0,1.5323,255.0,1.5305,320.0,1.5303,255.0
1.6002,True,0,1.6002,False,0,0,0,False,0.2443633520135488,-9.059906005859375e-05,1643579700000,1.5346,1.5346,1.5344,1.5344,595.0,1.5324,320.0,1.5326,255.0,1.5309,320.0,1.5307,255.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.21534847298355322,-8.630752563476562e-05,1643580000000,1.5324,1.5324,1.5303,1.5319999999999998,2911.0,1.5343,65.0,1.5344,961.0,1.5308,320.0,1.5306,255.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.33355134074557036,-7.996559143066406e-05,1643580300000,1.5290000000000001,1.5290000000000001,1.5243,1.526,7025.0,1.5258,385.0,1.5259,216.0,1.5242,6.0,1.5241,15.0
1.6002,True,0,1.6002,False,0,0,0,False,-1.4161220043573184,-8.7738037109375e-05,1643580600000,1.5147,1.5162,1.5117,1.5117,3997.0,1.5103,90.0,1.5116,66.0,1.5102,363.0,1.5101,28.0
1.6002,True,0,1.6002,False,0,0,0,False,0.138513290680041,-9.951591491699218e-05,1643580900000,1.5161,1.5253,1.5143,1.5143,15873.0,1.522,320.0,1.5222,65.0,1.5205,385.0,1.5203,255.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.03958566998746018,-9.851455688476562e-05,1643581200000,1.5157,1.5212,1.515,1.5178,5406.0,1.518,65.0,1.5181,44.0,1.5157,65.0,1.5155,701.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.04949841605068092,-9.741783142089844e-05,1643581500000,1.5152,1.5152,1.5152,1.5152,14.0,1.5176,44.0,1.5177,183.0,1.5155,1200.0,1.515,7131.0
1.6002,True,0,1.6002,False,0,0,0,False,0.2470844040324122,-9.746551513671875e-05,1643581800000,1.5177,1.5178,1.5121,1.5121,6831.0,1.5179,65.0,1.518,801.0,1.5135,46.0,1.5132,596.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.7050178736925831,-9.732246398925781e-05,1643582100000,1.5106,1.5106,1.5105,1.5105,81.0,1.5135,10.0,1.5136,66.0,1.511,256.0,1.5105,19.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.04966558506058654,-9.102821350097657e-05,1643582400000,1.5101,1.5102,1.5096,1.5096,42.0,1.5102,9.0,1.5116,47.0,1.5096,443.0,1.5095,18.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.04968203497614715,-9.055137634277344e-05,1643582700000,1.5096,1.5111,1.5096,1.5098,503.0,1.5113,871.0,1.5123,533.0,1.51,77.0,1.5098,46.0
1.6002,True,0,1.6002,False,0,0,0,False,0.39640591966173394,-9.393692016601562e-05,1643583000000,1.5136,1.5148,1.5136,1.5148,209.0,1.5157,14.0,1.5158,964.0,1.514,66.0,1.5139,66.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.05948446794447461,-8.940696716308594e-05,1643583300000,1.5130000000000001,1.5148,1.5130000000000001,1.5148,28.0,1.5171,66.0,1.5172,701.0,1.5131,66.0,1.513,45.0
1.6002,True,0,1.6002,False,0,0,0,False,0.3659260236038585,-8.516311645507812e-05,1643583600000,1.5167,1.5197,1.5131,1.5197,3461.0,1.5172,65.0,1.5174,777.0,1.5127,65.0,1.5125,289.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.3072145877378317,-7.982254028320313e-05,1643583900000,1.5136,1.5136,1.5084,1.5118,4356.0,1.5151,66.0,1.5152,40.0,1.5126,66.0,1.5124,700.0
1.6002,True,0,1.6002,False,0,0,0,False,0.41507444986164,-8.249282836914062e-05,1643584200000,1.5178,1.5185,1.516,1.5185,231.0,1.5198,961.0,1.5199,1218.0,1.5185,76.0,1.5182,701.0
1.6002,True,0,1.6002,False,0,0,0,False,0.22695875271363417,-7.967948913574218e-05,1643584500000,1.5201,1.5201,1.5179,1.5186,3155.0,1.518,122.0,1.5181,84.0,1.5166,84.0,1.5165,65.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.853456830962614,-7.791519165039063e-05,1643584800000,1.5115,1.5122,1.5115,1.5122,469.0,1.5165,65.0,1.5166,13.0,1.5154,613.0,1.5127,1359.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.5778043434947228,-7.958412170410157e-05,1643585100000,1.5057,1.5062,1.5043,1.5062,1339.0,1.5073,250.0,1.508,66.0,1.5058,316.0,1.5057,76.0
1.6002,True,0,1.6002,False,0,0,0,False,0.2982700338039264,-8.602142333984375e-05,1643585400000,1.5087,1.5089,1.5082,1.5089,402.0,1.5093,66.0,1.5094,701.0,1.5065,17.0,1.5064,701.0
1.6002,True,0,1.6002,False,0,0,0,False,0.029821073558666897,-8.254051208496093e-05,1643585700000,1.5090000000000001,1.5090000000000001,1.5077,1.5077,2207.0,1.5076,250.0,1.5077,68.0,1.5066,250.0,1.5065,68.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.09946949602123129,-8.144378662109376e-05,1643586000000,1.508,1.508,1.5043,1.5043,17.0,1.5068,66.0,1.5069,250.0,1.5049,61.0,1.5047,66.0
1.6002,True,0,1.6002,False,0,0,0,False,-0.18923046278467692,-8.349418640136718e-05,1643586300000,1.5061,1.5061,1.5017,1.5035,4287.0,1.5034,377.0,1.5039,66.0,1.5019,61.0,1.5018,250.0
