conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
5.28,True,0,5.28,False,0,0,0,False,-0.5671077504725777,-0.26789417266845705,1643574300000,5.29,5.29,5.28,5.28,71.34100000000001,5.28,90.491,5.29,351.2,5.27,179.091,5.26,281.083
5.28,True,0,5.28,False,0,0,0,False,0.0,1.803791618347168,1643574600000,5.29,5.29,5.29,5.29,13.0,5.3,148.477,5.31,325.251,5.29,89.886,5.28,318.992
5.28,True,0,5.28,False,0,0,0,False,2.4545454545454506,2.1613481521606444,1643575500000,5.5,5.52,5.47,5.47,3929.223,5.48,18.214,5.5,417.271,5.46,441.711,5.45,1040.725
5.28,True,0,5.28,False,0,0,0,False,-0.27322404371584114,1.0941777229309082,1643575800000,5.49,5.49,5.47,5.48,945.51,5.48,79.759,5.49,699.841,5.47,243.89,5.46,182.481
5.28,True,0,5.28,False,0,0,0,False,-0.5484460694698482,1.104451847076416,1643576100000,5.47,5.47,5.41,5.45,2498.437,5.45,266.747,5.46,58.263,5.43,206.481,5.42,79.433
5.28,True,0,5.28,False,0,0,0,False,0.0,1.1011180877685547,1643576400000,5.47,5.5,5.47,5.5,324.436,5.48,1264.403,5.49,171.028,5.47,392.539,5.46,207.154
5.28,True,0,5.28,False,0,0,0,False,2.162162162162164,-0.8231151580810547,1643576700000,5.55,5.56,5.51,5.53,809.335,5.53,9.343,5.54,378.642,5.51,304.367,5.5,320.919
5.28,True,0,5.28,False,0,0,0,False,-3.314917127071826,-0.6833810806274414,1643577000000,5.43,5.45,5.41,5.41,771.325,5.41,201.779,5.42,411.316,5.4,1154.958,5.39,29.888
5.28,True,0,5.28,False,0,0,0,False,-1.95895522388058,0.016064548492431642,1643577300000,5.36,5.38,5.36,5.37,450.287,5.38,232.396,5.39,237.339,5.37,156.043,5.36,300.994
5.28,True,0,5.28,False,0,0,0,False,-0.8442776735459732,0.006814289093017578,1643577600000,5.33,5.33,5.31,5.32,2062.804,5.33,319.599,5.34,164.28,5.32,239.727,5.31,88.357
5.28,True,0,5.28,False,0,0,0,False,0.0,0.002462482452392578,1643577900000,5.33,5.33,5.33,5.33,104.52600000000001,5.33,1066.311,5.34,150.0,5.32,165.692,5.31,265.967
5.28,True,0,5.28,False,0,0,0,False,-1.1342155009451806,0.003977394104003907,1643578200000,5.29,5.29,5.29,5.29,2.0669999999999997,5.31,845.133,5.32,294.367,5.29,174.467,5.28,699.339
5.28,True,0,5.28,False,0,0,0,False,-0.569259962049349,0.0017466545104980469,1643578500000,5.27,5.3,5.27,5.29,472.779,5.32,1.92,5.33,27.905,5.31,328.388,5.3,139.751
5.28,True,0,5.28,False,0,0,0,False,2.2429906542056095,-0.004047393798828125,1643578800000,5.35,5.38,5.35,5.36,419.05300000000005,5.37,150.0,5.38,579.55,5.36,13.372,5.35,253.452
5.28,True,0,5.28,False,0,0,0,False,-1.4150943396226365,-0.0077239990234375,1643579100000,5.3,5.3,5.3,5.3,211.665,5.33,362.681,5.34,329.979,5.3,137.23,5.29,468.213
