conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
29.28,True,0,29.28,True,0,0,0,False,0.715502555366272,0.007077789306640625,1643217300000,29.35,29.5,29.23,29.3,7575.43,29.28,55.0,29.29,30.34,29.25,74.1,29.24,88.25
29.28,True,0,29.28,False,0,0,0,False,-0.3586065573770506,6.478376770019532,1643217600000,29.28,29.37,29.21,29.25,1925.12,29.28,67.31,29.29,34.91,29.26,8.05,29.25,51.27
29.28,True,0,29.28,False,0,0,0,False,-0.10252904989746876,6.757486724853516,1643217900000,29.26,29.33,29.17,29.2,1678.75,29.23,39.41,29.24,107.6,29.2,55.0,29.19,48.62
29.28,True,0,29.28,False,0,0,0,False,-0.20533880903492147,6.410589599609375,1643218200000,29.22,29.23,29.04,29.06,2795.1,29.08,37.65,29.09,8.4,29.06,64.72,29.05,55.0
29.28,True,0,29.28,False,0,0,0,False,-0.8258774948382664,6.121000671386719,1643218500000,29.06,29.2,29.04,29.04,1687.97,29.09,45.4,29.1,0.4,29.07,63.0,29.06,35.7
29.28,True,0,29.28,False,0,0,0,False,0.05159958720331044,5.813708114624023,1643218800000,29.07,29.16,28.93,29.0,2542.3,29.0,12.33,29.01,47.06,28.99,22.53,28.98,38.34
29.28,True,0,29.28,False,0,0,0,False,-0.41393583994481814,-0.6018726348876953,1643219100000,28.99,29.03,28.77,28.8,3248.63,28.71,28.19,28.73,13.97,28.68,38.07,28.67,96.7
29.28,True,0,29.28,False,0,0,0,False,-1.4629049111807606,-0.7261493682861329,1643219400000,28.71,28.9,28.68,28.78,2840.55,28.76,1.73,28.77,36.91,28.75,0.4,28.74,5.86
29.28,True,0,29.28,False,0,0,0,False,0.2086956521739086,-1.0719650268554688,1643219700000,28.75,28.78,28.34,28.46,15352.24,28.54,11.09,28.55,1.28,28.51,111.42,28.5,62.92
29.28,True,0,29.28,False,0,0,0,False,-1.2627148368993253,-0.27553138732910154,1643220000000,28.51,28.75,28.1,28.41,13339.36,28.36,25.6,28.39,99.27,28.34,15.08,28.33,2.23
29.28,True,0,29.28,False,0,0,0,False,-0.7933709449929591,-0.08250732421875,1643220300000,28.36,28.36,27.9,27.95,13894.43,27.99,100.0,28.0,592.52,27.97,32.57,27.95,56.91
29.28,True,0,29.28,False,0,0,0,False,-2.0371694067190798,-0.25955886840820314,1643220600000,27.98,28.23,27.95,28.13,4859.57,28.18,3.6,28.19,45.49,28.16,56.4,28.15,30.05
29.28,True,0,29.28,False,0,0,0,False,1.064584811923346,-0.1311565399169922,1643220900000,28.18,28.18,27.96,28.0,3775.21,27.98,29.0,27.99,79.87,27.95,31.85,27.94,29.0
29.28,True,0,29.28,False,0,0,0,False,-1.234347048300539,-0.1266712188720703,1643221200000,27.95,27.98,27.71,27.8,22992.72,27.84,1.42,27.85,65.63,27.82,1.71,27.81,1.0
29.28,True,0,29.28,False,0,0,0,False,-0.7551240560949329,-0.11878700256347656,1643221500000,27.81,27.84,27.41,27.64,13684.31,27.61,55.11,27.62,29.0,27.59,14.68,27.58,20.36
29.28,True,0,29.28,False,0,0,0,False,-1.1413043478260723,-0.2054912567138672,1643221800000,27.6,28.13,27.59,27.95,16610.12,27.97,7.06,27.98,64.72,27.94,55.54,27.93,445.23
