conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
3.03,True,0,3.03,False,0,0,0,False,-97.40066225165562,0.01870284080505371,1643255400000,3.02,3.03,3.0180000000000002,3.03,9269.8,3.03,175.2,3.031,139.3,3.028,192.2,3.027,165.7
3.03,True,0,3.03,False,0,0,0,False,1.2315270935960547,0.7112672328948975,1643255700000,3.045,3.045,3.0389999999999997,3.042,8475.8,3.041,104.5,3.042,27.7,3.04,18.0,3.039,169.3
3.03,True,0,3.03,False,0,0,0,False,-0.04927726675428716,0.5287951946258544,1643256000000,3.0439999999999996,3.0439999999999996,3.03,3.034,5810.7,3.041,1018.9,3.042,227.3,3.038,70.6,3.037,646.7
3.03,True,0,3.03,False,0,0,0,False,-0.49439683586023997,0.5026361465454101,1643256300000,3.034,3.037,3.031,3.037,5114.2,3.038,1060.5,3.039,165.0,3.037,528.3,3.035,520.0
3.03,True,0,3.03,False,0,0,0,False,1.1772400261609122,0.5983763217926025,1643256600000,3.0580000000000003,3.0669999999999997,3.057,3.062,10087.6,3.062,305.1,3.064,163.3,3.061,32.6,3.06,194.3
3.03,True,0,3.03,False,0,0,0,False,-0.6898817345598233,0.6171619892120361,1643256900000,3.0439999999999996,3.05,3.043,3.043,7448.8,3.038,101.7,3.039,131.2,3.037,13.2,3.036,380.9
3.03,True,0,3.03,False,0,0,0,False,0.29508196721312596,-0.07139267921447753,1643257200000,3.05,3.05,3.0439999999999996,3.048,3815.8,3.048,441.2,3.049,624.3,3.046,165.0,3.044,283.7
3.03,True,0,3.03,False,0,0,0,False,-1.0399471772862285,0.07018957138061524,1643257500000,3.029,3.035,3.029,3.032,6390.2,3.034,194.6,3.035,305.7,3.032,165.0,3.031,1570.3
3.03,True,0,3.03,False,0,0,0,False,0.3951267698386569,0.10341167449951172,1643257800000,3.037,3.04,3.035,3.0389999999999997,8150.2,3.034,256.6,3.035,461.2,3.032,65.9,3.031,164.9
3.03,True,0,3.03,False,0,0,0,False,0.29576076240553206,0.02043142318725586,1643258100000,3.043,3.043,3.0389999999999997,3.042,7293.4,3.046,921.4,3.047,977.0,3.044,244.0,3.043,527.6
3.03,True,0,3.03,False,0,0,0,False,0.14773473407748425,0.003059720993041992,1643258400000,3.0460000000000003,3.0460000000000003,3.043,3.043,6770.4,3.044,13.9,3.045,383.8,3.043,123.6,3.042,340.5
3.03,True,0,3.03,False,0,0,0,False,-0.29605263157895856,-0.00017852783203125,1643258700000,3.04,3.0410000000000004,3.036,3.036,10019.2,3.051,180.9,3.052,362.1,3.048,349.3,3.047,165.0
3.03,True,0,3.03,True,0,-0.15,0,False,0.39370078740157516,-0.00016031265258789062,1643259000000,3.048,3.05,3.048,3.049,9410.4,3.05,204.5,3.051,522.1,3.048,382.3,3.047,437.1
3.03,True,0,3.03,False,0,-0.15,0,False,0.0,-0.0001407146453857422,1643259300000,3.048,3.049,3.045,3.0460000000000003,7986.0,3.047,17.4,3.048,122.1,3.046,332.0,3.045,456.4
3.03,True,0,3.03,False,0,-0.15,0,False,-0.19710906701710487,-0.00012784004211425782,1643259600000,3.0439999999999996,3.049,3.0439999999999996,3.049,7203.1,3.047,363.2,3.048,165.0,3.046,99.8,3.045,117.1
