conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
56.86,True,0,56.86,False,0,0,0,False,-19.79239971850809,0.03538818359375,1644052800000,56.84,56.96,56.77,56.89,11930.15,56.86,59.48,56.87,57.43,56.85,115.05,56.84,124.87
56.86,True,0,56.86,False,0,0,0,False,-0.05270555165143013,11.58615951538086,1644053400000,56.92,56.94,56.89,56.91,2847.74,56.9,142.53,56.91,75.64,56.89,115.54,56.88,685.36
56.86,True,0,56.86,False,0,0,0,False,-0.9016973125883918,-0.5553962707519531,1644054900000,56.56,56.58,56.3,56.32,17266.01,56.33,21.5,56.34,227.67,56.26,1338.22,56.25,1219.35
56.86,True,0,56.86,False,0,0,0,False,-0.6114852889046354,-0.10279388427734375,1644061200000,56.42,56.57,56.42,56.56,12136.96,56.52,70.19,56.53,81.9,56.51,181.2,56.5,214.15
56.86,True,0,56.86,False,0,0,0,False,-0.07980138322397891,-0.13768692016601564,1644061800000,56.39,56.44,56.36,56.44,5280.76,56.44,319.97,56.45,66.55,56.43,295.08,56.42,253.68
56.86,True,0,56.86,False,0,0,0,False,0.42440318302386365,-0.07711410522460938,1644061800000,56.55,56.69,56.5,56.56,8279.49,56.6,2.85,56.61,115.31,56.59,271.06,56.58,198.57
56.86,True,0,56.86,False,0,0,0,False,-0.10617589807113559,-0.07214584350585937,1644062100000,56.51,56.65,56.51,56.61,3812.75,56.62,83.47,56.63,275.26,56.61,23.84,56.6,236.19
56.86,True,0,56.86,False,0,0,0,False,0.5553596614950658,-0.03904800415039063,1644062400000,56.72,56.81,56.69,56.71,3760.31,56.72,50.29,56.73,13.6,56.71,199.94,56.7,178.37
56.86,True,0,56.86,False,0,0,0,False,-1.3876534424479523,0.025455474853515625,1644063000000,56.21,56.42,56.18,56.42,7638.53,56.4,68.77,56.41,52.63,56.39,77.35,56.38,253.31
56.86,True,0,56.86,False,0,0,0,False,-0.2124269782262302,-0.11779098510742188,1644066300000,56.49,56.55,56.39,56.53,5182.3,56.53,756.15,56.54,510.46,56.52,2.24,56.51,191.2
56.86,True,0,56.86,False,0,0,0,False,-0.39830058417418635,-0.0038909912109375,1644066900000,56.49,56.73,56.48,56.59,6997.6,56.58,43.6,56.59,116.82,56.57,100.63,56.56,151.75
56.86,True,0,56.86,False,0,0,0,False,-0.2653927813163331,-0.022109222412109376,1644067500000,56.52,56.6,56.45,56.52,8061.3,56.52,82.52,56.53,539.86,56.51,53.93,56.5,383.56
56.86,True,0,56.86,False,0,0,0,False,-0.10623229461758035,-0.01195526123046875,1644067800000,56.48,56.65,56.47,56.61,4165.71,56.62,6.42,56.63,334.23,56.61,174.41,56.6,182.41
