conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
2.2536,True,0,2.2536,True,0,0,0,False,0.0,-0.012396478652954101,1643217000000,2.2576,2.2576,2.253,2.2545,53820.0,2.2536,630.0,2.254,235.0,2.2531,1240.0,2.253,2560.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.28624683797098877,0.43742666244506834,1643217300000,2.2533,2.2548,2.2438,2.2458,128494.0,2.2435,95.0,2.2436,1427.0,2.2432,13.0,2.2431,29.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.6552262090483492,0.435875701904297,1643217600000,2.2435,2.2511,2.2406,2.2406,53148.0,2.2424,470.0,2.2425,1202.0,2.2419,660.0,2.2417,242.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.06019798448230556,0.43591842651367196,1643217900000,2.2426,2.254,2.2426,2.2529,85681.0,2.2527,242.0,2.2528,857.0,2.2522,309.0,2.2516,613.0
2.2536,True,0,2.2536,False,0,0,0,False,0.6725263017712078,0.4366320610046387,1643218200000,2.2527,2.2529,2.2298,2.2301,81461.0,2.2285,218.0,2.2286,63.0,2.2279,470.0,2.2276,126.0
2.2536,True,0,2.2536,False,0,0,0,False,-1.6288983621269912,0.4325754642486572,1643218500000,2.2285,2.2388,2.2279,2.2301,109667.0,2.2307,470.0,2.2308,218.0,2.2302,178.0,2.23,1046.0
2.2536,True,0,2.2536,False,0,0,0,False,0.11433952111918448,-0.005881786346435547,1643218800000,2.2302,2.2387,2.2252,2.2368,142948.0,2.2366,701.0,2.2367,282.0,2.2362,928.0,2.2361,10.0
2.2536,True,0,2.2536,False,0,0,0,False,0.40246847330293983,-0.003035116195678711,1643219100000,2.2362,2.2375,2.2265,2.2306,79038.0,2.2314,56.0,2.2317,86.0,2.2313,839.0,2.2311,868.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.3294043830950652,-0.003063821792602539,1643219400000,2.2313,2.2338,2.2267,2.2285,111926.0,2.2289,11.0,2.229,180.0,2.2286,666.0,2.2285,842.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.16151464848132577,-0.007072830200195312,1643219700000,2.2289,2.2315,2.2252,2.2275,59905.0,2.2275,19.0,2.2278,196.0,2.2271,470.0,2.227,196.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.0942760942760839,-0.004419088363647461,1643220000000,2.2275,2.2287,2.1643,2.1776,759632.0,2.1739,200.0,2.174,470.0,2.1732,297.0,2.1731,134.0
2.2536,True,0,2.2536,False,0,0,0,False,-3.719635627530368,-0.011627912521362305,1643220300000,2.1736,2.1751,2.1539,2.1683,409521.0,2.1699,190.0,2.17,787.0,2.1697,366.0,2.1696,189.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.25577215539885345,-0.015764188766479493,1643220600000,2.1699,2.1899,2.1677,2.187,146701.0,2.1884,37.0,2.1886,131.0,2.1883,326.0,2.1881,196.0
2.2536,True,0,2.2536,False,0,0,0,False,1.2612530274642246,-0.011523199081420899,1643220900000,2.1883,2.2019,2.1872,2.193,304959.0,2.1924,144.0,2.1925,498.0,2.1922,457.0,2.1921,273.0
2.2536,True,0,2.2536,False,0,0,0,False,0.26685521394035006,-0.008920621871948243,1643221200000,2.1922,2.1924,2.1724,2.1764,277314.0,2.1785,1045.0,2.179,46.0,2.1778,470.0,2.1775,653.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.9848937049451292,-0.012260150909423829,1643221500000,2.1779,2.1819,2.1683,2.1793,157200.0,2.18,297.0,2.1801,30.0,2.1794,974.0,2.1793,2264.0
2.2536,True,0,2.2536,False,0,0,0,False,0.1032394236945682,-0.0025224208831787108,1643221800000,2.1794,2.1874,2.1714,2.1755,172569.0,2.173,1000.0,2.1731,666.0,2.1728,134.0,2.1727,130.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.441785549930953,0.0005753517150878906,1643222100000,2.173,2.1867,2.1728,2.1830000000000003,127865.0,2.1829,593.0,2.183,898.0,2.1828,80.0,2.1827,19.0
2.2536,True,0,2.2536,False,0,0,0,False,0.6802876906867025,-0.0012273311614990235,1643222400000,2.1829,2.1935,2.1791,2.1813,128942.0,2.1817,642.0,2.1818,10.0,2.1811,164.0,2.181,138.0
2.2536,True,0,2.2536,False,0,0,0,False,-0.1237907477878304,-0.003620290756225586,1643222700000,2.1811,2.187,2.1795,2.1832,134579.0,2.1838,470.0,2.1839,196.0,2.1833,130.0,2.1832,80.0
2.2536,True,0,2.2536,False,0,0,0,False,0.15801044242923667,0.002769279479980469,1643223000000,2.1834,2.25,2.1821,2.246,445250.0,2.2474,1357.0,2.2476,301.0,2.2462,561.0,2.2461,197.0
2.2536,True,0,2.2536,True,0,-0.15,0,False,4.226198424355745,0.013099431991577148,1643223300000,2.2467,2.2467,2.1999,2.2022,779827.0,2.2017,470.0,2.2019,491.0,2.2014,18.0,2.2011,219.0
2.2536,True,0,2.2536,True,0,5.81141844938,0,False,-3.0588609319647673,0.012246084213256837,1643223600000,2.2018,2.3048,2.1981,2.2869,1769195.0,2.2881,522.0,2.2887,22.0,2.287,200.0,2.2869,218.0
2.2536,True,0,2.2536,True,0,4.632783758005189,0,False,5.562844397795853,0.030219554901123047,1643223900000,2.2866,2.3668,2.28,2.363,1460940.0,2.3562,189.0,2.3564,1799.0,2.355,62.0,2.3544,23.0
2.2536,True,0,2.2536,True,0,-7.9574873961030335,0,False,4.418505942275036,0.03995389938354492,1643224200000,2.356,2.3567,2.251,2.251,1568692.0,2.2388,31.0,2.239,957.0,2.2382,81.0,2.238,24.0
2.2536,True,0,2.2536,True,0,-1.0423763455511335,0,False,-7.824222936763132,0.019413328170776366,1643224500000,2.2392,2.2853,2.2018,2.2221,1387589.0,2.2236,200.0,2.2237,405.0,2.2229,39.0,2.222,114.0
2.2536,True,0,2.2536,False,0,-1.0423763455511335,0,False,-0.9573033707865012,-6.380081176757813e-05,1643224800000,2.225,2.2612,2.2218,2.26,760599.0,2.2715,89.0,2.2716,187.0,2.2702,625.0,2.2701,44.0
2.2536,True,0,2.2536,True,0,-0.15,0,False,2.9152527433784194,0.01852879524230957,1643225100000,2.2691,2.3073,2.2679,2.2884,1008047.0,2.2921,218.0,2.2922,174.0,2.2904,43.0,2.2903,757.0
2.2536,True,0,2.2536,True,0,-1.3088434186990128,0,False,1.3689956331877822,0.006048250198364258,1643225400000,2.29,2.2929,2.2574,2.2635,979775.0,2.2734,16.0,2.2735,15.0,2.2721,416.0,2.272,130.0
2.2536,True,0,2.2536,False,0,-1.3088434186990128,0,False,-1.241634378302229,-0.019141626358032227,1643225700000,2.2712,2.3125,2.2604,2.3068,834029.0,2.3057,237.0,2.3062,131.0,2.3047,8.0,2.3041,196.0
2.2536,True,0,2.2536,True,0,-0.15,0,False,2.0776344926403714,0.007934284210205079,1643226000000,2.3031,2.3069,2.2680000000000002,2.2801,647832.0,2.271,202.0,2.2711,263.0,2.2704,965.0,2.2702,316.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-2.0465648518991335,0.014241218566894531,1643226300000,2.2721,2.2831,2.2354,2.2396,880981.0,2.2312,66.0,2.2313,196.0,2.2302,222.0,2.23,186.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-2.5377075594145704,-0.0020811080932617186,1643226600000,2.2343,2.2573,2.2275,2.2477,471767.0,2.244,196.0,2.2448,1357.0,2.2425,14.0,2.2424,89.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,0.7681004541811277,-0.013935184478759766,1643226900000,2.2458,2.2535,2.2268,2.237,392789.0,2.2362,212.0,2.237,105.0,2.2354,200.0,2.2353,693.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-0.5362409509339534,-0.011719036102294921,1643227200000,2.2378,2.2379,2.1714,2.1858,934542.0,2.1865,214.0,2.1866,1046.0,2.1855,200.0,2.1852,343.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-3.5544373284538016,-0.028383255004882812,1643227500000,2.186,2.1978,2.1535,2.1572,706999.0,2.1551,115.0,2.1556,629.0,2.1543,41.0,2.1542,69.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-2.27789903868479,-0.028099250793457032,1643227800000,2.1533,2.1768,2.1431,2.145,465655.0,2.1447,280.0,2.145,565.0,2.144,200.0,2.1439,962.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-0.6085050825328839,-0.015631818771362306,1643228100000,2.1446,2.155,2.1063,2.1131,1107964.0,2.112,217.0,2.1131,217.0,2.1116,401.0,2.1115,2120.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-2.4741681675988363,-0.019549083709716798,1643228400000,2.1098,2.1281,2.0972,2.1246,616006.0,2.1216,25.0,2.1218,426.0,2.1203,8.0,2.1202,109.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,0.7709718489178038,-0.021447277069091795,1643228700000,2.1207,2.1735,2.1157,2.161,507745.0,2.1681,46.0,2.1683,541.0,2.1663,200.0,2.1662,46.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,3.157457415870399,-0.004706716537475586,1643229000000,2.1663,2.1736,2.1429,2.1429,441445.0,2.1435,200.0,2.1437,47.0,2.1415,1237.0,2.1414,47.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-1.5955213435969318,-0.0012617111206054688,1643229300000,2.1435,2.1619,2.1203,2.1519999999999997,585921.0,2.1491,455.0,2.1493,141.0,2.1479,277.0,2.1478,496.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,0.376937037554087,-0.0017498016357421875,1643229600000,2.1489,2.166,2.1424,2.1536,361657.0,2.1515,200.0,2.1516,1963.0,2.1506,470.0,2.1505,214.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,0.16734067772975733,-0.00010280609130859375,1643229900000,2.1513,2.1625,2.14,2.1432,290679.0,2.1503,3191.0,2.1505,3176.0,2.1491,89.0,2.1483,230.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-0.04184684056353284,-0.0034111976623535157,1643230200000,2.1507,2.1646,2.1430000000000002,2.1646,129012.0,2.1634,1588.0,2.1639,1963.0,2.1617,434.0,2.1616,232.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,0.8253953574401045,-0.0026227474212646485,1643230500000,2.1626,2.1653,2.1501,2.1636,83516.0,2.1571,200.0,2.1573,108.0,2.156,95.0,2.1555,180.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-0.3197405004633877,-0.0002353191375732422,1643230800000,2.158,2.1713,2.1531,2.1621,124494.0,2.1681,184.0,2.1685,23.0,2.1672,200.0,2.1665,2009.0
2.2536,True,0,2.2536,True,0,-0.15,0,False,0.6091932804135074,0.000386810302734375,1643231100000,2.1668,2.1739,2.1576,2.1657,125190.0,2.1658,803.0,2.1659,1182.0,2.1646,182.0,2.1645,261.0
2.2536,True,0,2.2536,False,0,-0.15,0,False,-0.13858093126384283,0.0018008232116699218,1643231400000,2.1648,2.1679,2.157,2.1581,66871.0,2.1594,107.0,2.1596,207.0,2.1584,209.0,2.1583,47.0
