conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
7.261,True,0,7.261,True,0,0,0,False,0.4128819157720804,0.0011320114135742188,1645119300000,7.266,7.278,7.263,7.263,2354.2,7.261,118.2,7.262,127.9,7.26,49.0,7.259,55.1
7.261,False,0,7.261,True,0,-0.15,0,False,-0.08262186725419084,1.4666474342346192,1645119600000,7.2620000000000005,7.2620000000000005,7.252000000000001,7.256,978.3,7.259,4.6,7.26,220.4,7.258,61.9,7.257,45.5
7.261,False,0,7.261,True,0,-0.7304971055775127,0,False,-0.10334849111202755,1.467470932006836,1645119900000,7.257000000000001,7.257000000000001,7.2170000000000005,7.224,3080.6,7.221,34.5,7.222,20.5,7.22,27.4,7.219,22.5
7.261,False,0,7.261,True,0,0.06202333915280178,0,False,-0.6435095488513821,1.46661434173584,1645120200000,7.226,7.234,7.218,7.225,1330.7,7.224,19.8,7.225,94.8,7.223,63.9,7.222,299.7
7.261,False,0,7.261,True,0,0.24809335661123555,0,False,0.24868748273002694,1.466487979888916,1645120500000,7.2379999999999995,7.242000000000001,7.232,7.2379999999999995,1666.7,7.238,434.7,7.241,13.8,7.235,168.1,7.234,171.1
7.261,False,0,7.261,True,0,0.3721400349168391,0,False,-0.10369141435088954,1.466506576538086,1645120800000,7.233,7.26,7.227,7.256,3603.7,7.256,154.9,7.257,53.0,7.253,72.1,7.252,56.5
7.261,False,0,7.261,True,0,-0.1447211246898803,0,False,0.20709650697224466,0.0006122589111328125,1645121100000,7.242999999999999,7.257999999999999,7.233,7.257000000000001,2010.5,7.249,255.2,7.25,34.5,7.246,66.3,7.245,117.7
7.261,False,0,7.261,True,0,-0.39281448130111585,0,False,-0.08288437629505925,0.0013155937194824219,1645121400000,7.239,7.239,7.205,7.223,2017.2,7.229,13.8,7.23,45.6,7.227,126.6,7.226,43.0
7.261,False,0,7.261,True,0,-2.7290269227235058,0,False,-1.7822197372099517,-0.000545501708984375,1645121700000,7.154,7.186,7.06,7.103,29660.3,7.098,260.8,7.099,96.9,7.095,39.5,7.09,14.1
7.261,False,0,7.261,True,0,0.0,0,False,-1.2260428410372004,-0.017573451995849608,1645122000000,7.096,7.108,7.0729999999999995,7.099,9826.8,7.097,95.1,7.098,14.1,7.095,45.9,7.093,67.4
7.261,False,0,7.261,True,0,-0.7856289626022317,0,False,0.12672486623486823,-0.018707847595214842,1645122300000,7.102,7.102,7.022,7.067,13402.3,7.061,60.3,7.064,31.3,7.057,34.5,7.055,69.8
7.261,False,0,7.261,True,0,0.5788844987595496,0,False,-0.5298855447223286,-0.026693248748779298,1645122600000,7.077000000000001,7.106,7.068,7.099,4101.7,7.089,55.1,7.09,85.9,7.085,107.7,7.084,145.9
7.261,False,0,7.261,True,0,-0.31011669576403733,0,False,-0.1060520361991116,-0.026029300689697266,1645122900000,7.072,7.091,7.067,7.074,3748.2,7.071,17.2,7.072,15.6,7.07,100.0,7.068,14.1
7.261,False,0,7.261,True,0,0.33079114214831407,0,False,0.4651818438116582,-0.025327587127685548,1645123200000,7.093999999999999,7.096,7.07,7.081,5480.7,7.088,34.5,7.089,141.6,7.086,101.9,7.084,115.1
7.261,False,0,7.261,True,0,0.6615822842965997,0,False,0.16896648831317013,-0.007562446594238281,1645123500000,7.102,7.122999999999999,7.096,7.117999999999999,3371.6,7.12,209.8,7.121,91.3,7.118,1.5,7.117,301.5
7.261,False,0,7.261,True,0,0.7856289626022033,0,False,0.6100126209507765,-0.003478717803955078,1645123800000,7.131,7.1610000000000005,7.129,7.155,2485.5,7.158,145.6,7.159,92.7,7.156,1.5,7.155,168.5
7.261,False,0,7.261,True,0,0.16539557107415703,0,False,0.7742745535714084,0.006896400451660156,1645124100000,7.167999999999999,7.167999999999999,7.145,7.164,3899.3,7.165,49.8,7.166,17.0,7.164,34.5,7.163,75.9
7.261,False,0,7.261,True,0,-0.4341633740696409,0,False,-0.16759776536311002,0.002391529083251953,1645124400000,7.16,7.16,7.1339999999999995,7.135,1526.8,7.146,62.1,7.147,299.8,7.143,127.9,7.142,99.3
