conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
3.686,True,0,3.686,False,0,0,0,False,-45.250944414463,0.02675466537475586,1643532000000,3.7060000000000004,3.7060000000000004,3.7,3.702,901.64,3.686,130.0,3.69,531.88,3.683,1426.05,3.682,174.76
3.759,True,0,3.759,False,0,0,0,False,1.284109149277672,0.031276512145995916,1643532900000,3.738,3.765,3.7310000000000003,3.755,36034.92,3.759,10.62,3.76,130.0,3.754,135.32,3.753,266.98
3.759,True,0,3.759,False,0,0,0,False,0.4002134471718342,0.8437338829040527,1643533200000,3.748,3.763,3.741,3.7489999999999997,8337.02,3.758,130.0,3.759,272.96,3.75,119.66,3.748,396.98
3.731,True,0,3.731,True,0,0,0,False,-0.3208556149732623,0.015783214569091798,1643533500000,3.74,3.7460000000000004,3.7310000000000003,3.7319999999999998,1799.82,3.731,130.0,3.732,506.58,3.728,744.57,3.727,104.43
3.731,False,0,3.731,True,0,-0.15,0,False,-1.0907621869108592,0.7990553855895995,1643533800000,3.713,3.7260000000000004,3.708,3.719,5463.48,3.721,266.98,3.722,261.49,3.713,145.0,3.712,10.0
3.731,False,0,3.731,True,0,-0.15,0,False,0.20172135556750512,0.7833748817443847,1643534100000,3.718,3.725,3.702,3.7060000000000004,7529.42,3.713,21.34,3.717,12516.94,3.707,410.79,3.706,795.9
3.731,False,0,3.731,True,0,-0.15,0,False,-0.40453074433656094,0.771748161315918,1643534400000,3.708,3.714,3.682,3.694,7258.68,3.695,13.87,3.696,301.87,3.689,9.74,3.688,130.0
3.731,False,0,3.731,True,0,-0.15,0,False,-0.44630781714904466,0.7673932552337647,1643534700000,3.697,3.697,3.636,3.6719999999999997,19976.3,3.672,368.47,3.673,15.29,3.666,130.0,3.664,727.38
3.731,False,0,3.731,True,0,-0.15,0,False,-1.3923013923013843,0.7612421035766601,1643535000000,3.6630000000000003,3.6689999999999996,3.63,3.637,27207.72,3.647,10.99,3.648,130.0,3.642,272.96,3.64,247.1
3.731,False,0,3.731,True,0,-0.15,0,False,-0.49301561216105216,-0.047740840911865236,1643535300000,3.6510000000000002,3.655,3.5869999999999997,3.595,47600.01,3.604,12.12,3.606,20.87,3.6,6.28,3.599,130.0
3.731,False,0,3.731,True,0,-0.15,0,False,-1.7036011080332565,-0.04065408706665039,1643535600000,3.61,3.617,3.585,3.585,7475.78,3.593,130.0,3.594,266.98,3.587,83.4,3.586,7.95
3.731,False,0,3.731,True,0,-0.15,0,False,-2.1067415730337005,-0.03523907661437988,1643535900000,3.56,3.589,3.543,3.551,42485.57,3.551,130.0,3.552,272.96,3.546,586.84,3.545,870.03
3.731,False,0,3.731,True,0,-0.15,0,False,-0.9327303561334,-0.03722677230834961,1643536200000,3.5380000000000003,3.5610000000000004,3.528,3.554,22011.25,3.547,3.25,3.549,16.84,3.546,501.91,3.545,1282.53
3.731,False,0,3.731,True,0,-0.15,0,False,0.7172995780590676,-0.03172287940979004,1643536500000,3.555,3.562,3.542,3.553,12147.98,3.553,130.0,3.555,451.1,3.546,130.0,3.543,5.64
3.731,False,0,3.731,True,0,-0.15,0,False,-0.8059954751131276,-0.02284383773803711,1643536800000,3.536,3.57,3.534,3.5580000000000003,15423.79,3.56,3.27,3.561,596.55,3.553,13.37,3.552,12834.59
3.731,False,0,3.731,True,0,-0.15,0,False,1.1784511784511609,-0.014154720306396484,1643537100000,3.5639999999999996,3.595,3.5639999999999996,3.576,24934.18,3.576,3.51,3.58,130.0,3.571,130.0,3.57,266.98
3.731,False,0,3.731,True,0,-0.15,0,False,0.5451495666759999,-0.005055522918701172,1643537400000,3.577,3.583,3.572,3.582,8437.69,3.58,297.67,3.581,309.11,3.577,130.0,3.576,166.13
