conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
4.453,True,0,4.453,True,0,0,0,False,34.75773889636609,-0.06556415557861328,1643217000000.0,4.458,4.458,4.447,4.454,9346.3,4.453,64.6,4.454,120.0,4.45,120.0,4.449,292.6
4.453,True,0,4.453,False,0,0,0,False,-0.1684257803727788,0.9273282051086426,1643217300000.0,4.453,4.459,4.442,4.442,7338.2,4.445,189.0,4.448,87.7,4.442,32.2,4.441,64.6
4.453,True,0,4.453,False,0,0,0,False,-0.26996625421822296,0.9475980758666994,1643217600000.0,4.445,4.453,4.42,4.422,20925.9,4.422,170.4,4.423,64.0,4.42,6.2,4.418,109.1
4.453,True,0,4.453,False,0,0,0,False,-0.7801899592944564,0.9313391685485841,1643217900000.0,4.422,4.44,4.421,4.437,5697.3,4.438,181.4,4.44,75.6,4.436,20.4,4.435,120.0
4.453,True,0,4.453,False,0,0,0,False,0.4059539918809355,0.943352794647217,1643218200000.0,4.434,4.434,4.404,4.405,14623.4,4.404,381.4,4.405,107.8,4.402,69.8,4.401,49.5
4.453,True,0,4.453,False,0,0,0,False,-1.0217983651226243,0.9238059043884277,1643218500000.0,4.404,4.419,4.4,4.4,10786.9,4.397,462.5,4.399,302.4,4.396,4.8,4.395,41.4
4.453,True,0,4.453,False,0,0,0,False,-0.27297543221110127,-0.06749305725097657,1643218800000.0,4.396,4.422,4.38,4.415,20416.9,4.415,65.1,4.416,247.8,4.411,772.4,4.41,116.0
4.453,True,0,4.453,False,0,0,0,False,0.6793478260869722,-0.12320289611816407,1643219100000.0,4.416,4.416,4.388999999999999,4.399,8127.3,4.409,288.8,4.41,238.4,4.406,184.7,4.405,711.0
4.453,True,0,4.453,False,0,0,0,False,-0.4428798546445571,-0.11682758331298829,1643219400000.0,4.4030000000000005,4.409,4.39,4.395,9293.8,4.395,72.0,4.396,120.0,4.393,1362.6,4.392,2600.8
4.453,True,0,4.453,False,0,0,0,False,-0.27303754266214664,-0.12141094207763672,1643219700000.0,4.395,4.395,4.38,4.38,10376.5,4.379,223.4,4.382,100.0,4.375,175.9,4.373,3413.6
4.453,True,0,4.453,False,0,0,0,False,-0.5480703356930812,-0.09596233367919922,1643220000000.0,4.379,4.38,4.2330000000000005,4.2589999999999995,121191.6,4.253,78.8,4.254,461.5,4.25,148.2,4.249,89.4
4.453,True,0,4.453,False,0,0,0,False,-4.552941176470573,-0.03421602249145508,1643220300000.0,4.25,4.258,4.217,4.253,45041.2,4.257,410.1,4.258,803.2,4.254,9.3,4.249,884.9
4.453,True,0,4.453,False,0,0,0,False,0.17626321974147685,-0.015230274200439453,1643220600000.0,4.255,4.2989999999999995,4.252,4.284,21152.4,4.287,13.9,4.289,64.4,4.285,191.0,4.284,466.4
4.453,True,0,4.453,False,0,0,0,False,1.11966410076977,-0.010335826873779297,1643220900000.0,4.287,4.311,4.266,4.2780000000000005,28402.5,4.279,120.0,4.28,270.5,4.275,806.0,4.274,1294.2
4.453,True,0,4.453,False,0,0,0,False,-0.38587464920486864,-0.010945796966552734,1643221200000.0,4.276,4.277,4.251,4.2589999999999995,18010.5,4.267,182.8,4.268,156.1,4.264,57.3,4.263,120.0
4.453,True,0,4.453,False,0,0,0,False,-0.5633802816901414,-0.011760711669921875,1643221500000.0,4.26,4.265,4.242,4.263999999999999,25903.0,4.26,142.3,4.261,48.1,4.257,78.8,4.256,593.0
4.453,True,0,4.453,False,0,0,0,False,-0.14097744360900702,0.0008654594421386719,1643221800000.0,4.256,4.2669999999999995,4.232,4.237,31381.9,4.235,193.4,4.236,379.4,4.231,384.8,4.23,262.1
4.453,True,0,4.453,False,0,0,0,False,-0.8150248051027528,-0.0020560264587402345,1643222100000.0,4.2330000000000005,4.269,4.228,4.256,22562.4,4.258,70.0,4.259,138.5,4.256,188.6,4.255,189.2
4.453,True,0,4.453,False,0,0,0,False,0.8106203007518686,-0.0024595260620117188,1643222400000.0,4.256,4.276,4.247,4.25,17686.6,4.252,262.5,4.253,321.7,4.249,93.6,4.247,198.8
4.453,True,0,4.453,False,0,0,0,False,-0.21176470588236096,-0.0013230323791503906,1643222700000.0,4.25,4.256,4.2139999999999995,4.22,111630.4,4.221,439.2,4.222,155.5,4.219,959.8,4.218,1659.2
4.453,True,0,4.453,False,0,0,0,False,-1.1021569092202153,-0.007250213623046875,1643223000000.0,4.218999999999999,4.331,4.218,4.314,48728.4,4.314,411.0,4.316,448.0,4.308,337.7,4.306,213.5
4.453,True,0,4.453,False,0,0,0,False,3.1329774889765867,0.0042361259460449215,1643223300000.0,4.309,4.32,4.255,4.289,42898.4,4.281,675.8,4.282,64.1,4.275,314.0,4.274,49.2
4.453,True,0,4.453,False,0,0,0,False,-0.9810791871058016,0.00025186538696289065,1643223600000.0,4.281000000000001,4.4719999999999995,4.271,4.446000000000001,161778.0,4.455,247.9,4.458,292.4,4.448,91.2,4.446,58.6
4.453,True,0,4.453,False,0,0,0,False,5.696629213483132,0.0142303466796875,1643223900000.0,4.45,4.6,4.43,4.57,216786.8,4.569,34.7,4.57,86.8,4.559,224.2,4.558,181.1
4.453,True,0,4.453,False,0,0,0,False,3.9706847516954853,0.036283683776855466,1643224200000.0,4.571000000000001,4.595,4.386,4.386,198901.9,4.378,47.0,4.379,100.3,4.367,22.8,4.365,86.8
4.453,True,0,4.453,False,0,0,0,False,-6.899313501144182,0.020700740814208984,1643224500000.0,4.37,4.477,4.328,4.405,117622.8,4.398,152.1,4.399,83.0,4.382,78.1,4.381,99.4
4.453,True,0,4.453,False,0,0,0,False,0.6153144940747423,0.00899972915649414,1643224800000.0,4.388,4.476,4.388,4.468,48243.6,4.486,18.3,4.487,11.2,4.479,113.4,4.478,84.1
4.453,True,0,4.453,True,0,-0.15,0,False,3.0475552578700666,0.016154670715332033,1643225100000.0,4.479,4.564,4.479,4.516,68277.7,4.522,144.3,4.523,101.7,4.516,194.4,4.511,558.1
4.453,True,0,4.453,True,0,-3.1844316674038,0,False,1.4920424403183001,0.007649421691894531,1643225400000.0,4.524,4.524,4.419,4.426,36030.8,4.436,87.2,4.439,79.5,4.426,78.3,4.425,298.9
4.453,True,0,4.453,True,0,1.3600176912870268,0,False,-2.9756537421100115,-0.014239692687988281,1643225700000.0,4.436,4.488,4.393,4.477,50947.2,4.476,134.7,4.477,158.6,4.467,286.5,4.466,89.4
4.453,True,0,4.453,True,0,-1.2273330384785481,0,False,1.2075134168157287,0.004174232482910156,1643226000000.0,4.4719999999999995,4.484,4.4430000000000005,4.453,23953.5,4.438,70.3,4.44,858.2,4.43,10.3,4.428,74.6
4.453,True,0,4.453,True,0,-1.8244139761167446,0,False,-1.285520974289559,0.005325984954833984,1643226300000.0,4.434,4.465,4.371,4.39,32419.8,4.383,480.5,4.384,482.6,4.375,18.1,4.374,346.4
4.453,True,0,4.453,False,0,-1.8244139761167446,0,False,-1.9533927347498419,-0.008161640167236328,1643226600000.0,4.377,4.428999999999999,4.376,4.395,32856.6,4.393,120.0,4.394,296.0,4.389,89.4,4.384,373.4
4.453,True,0,4.453,True,0,-0.15,0,False,0.6822833750284442,-0.009384250640869141,1643226900000.0,4.397,4.397,4.351,4.356,19149.3,4.357,120.0,4.358,337.6,4.353,5.4,4.352,129.5
4.453,True,0,4.453,False,0,-0.15,0,False,-1.3423588802202742,-0.0033397674560546875,1643227200000.0,4.3580000000000005,4.359,4.25,4.289,80081.3,4.304,18.0,4.308,302.6,4.297,445.6,4.296,588.0
4.453,True,0,4.453,False,0,-0.15,0,False,-1.9172670230072253,-0.015610885620117188,1643227500000.0,4.303,4.336,4.247,4.256,36935.6,4.247,191.0,4.248,183.2,4.241,359.2,4.24,318.6
4.453,True,0,4.453,False,0,-0.15,0,False,-2.0136599152143013,-0.019102859497070312,1643227800000.0,4.246,4.295,4.246,4.246,25767.2,4.253,120.0,4.255,3683.0,4.251,43.0,4.25,144.2
4.453,True,0,4.453,False,0,-0.15,0,False,0.17642907551164055,-0.011125802993774414,1643228100000.0,4.251,4.27,4.1530000000000005,4.168,141524.9,4.168,55.4,4.169,55.5,4.164,148.8,4.163,71.2
4.453,True,0,4.453,False,0,-0.15,0,False,-3.2444124008651714,-0.02260880470275879,1643228400000.0,4.1610000000000005,4.194,4.133,4.185,80763.8,4.182,1012.9,4.183,69.7,4.176,164.7,4.173,194.2
4.453,True,0,4.453,False,0,-0.15,0,False,0.57457505386638,-0.021331596374511718,1643228700000.0,4.177,4.271,4.157,4.243,43148.8,4.247,61.7,4.248,265.4,4.243,41.1,4.241,120.0
4.453,True,0,4.453,False,0,-0.15,0,False,2.4723334118201183,-0.0036736488342285155,1643229000000.0,4.247,4.261,4.192,4.1930000000000005,28937.6,4.19,846.3,4.192,120.0,4.185,89.4,4.18,107.7
4.453,True,0,4.453,False,0,-0.15,0,False,-2.04057279236275,-0.006819629669189453,1643229300000.0,4.19,4.23,4.156000000000001,4.197,34626.8,4.192,255.2,4.193,346.4,4.188,171.7,4.187,10.9
4.453,True,0,4.453,False,0,-0.15,0,False,-0.07163323782237349,-0.005725765228271484,1643229600000.0,4.188,4.23,4.184,4.2,17218.6,4.206,143.1,4.208,182.7,4.2,87.5,4.199,96.7
4.453,True,0,4.453,False,0,-0.15,0,False,0.4285714285714448,0.003093862533569336,1643229900000.0,4.2,4.225,4.181,4.197,23055.3,4.213,428.9,4.214,346.4,4.207,12.2,4.205,94.0
4.453,True,0,4.453,False,0,-0.15,0,False,0.4628530738191277,0.0007911205291748046,1643230200000.0,4.213,4.2139999999999995,4.188,4.213,29178.1,4.215,69.2,4.216,360.9,4.208,69.2,4.207,314.4
4.453,True,0,4.453,True,0,-0.15,0,False,0.0,-0.0030322551727294924,1643230500000.0,4.213,4.218,4.191,4.218,10807.4,4.206,179.5,4.209,72.9,4.201,463.6,4.2,77.9
4.453,True,0,4.453,True,0,0.5706134094151025,0,False,-0.35688793718771544,0.0026380062103271485,1643230800000.0,4.203,4.246,4.198,4.218,14398.9,4.228,376.7,4.229,68.7,4.222,307.9,4.221,838.7
