conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
10.96,True,0,10.96,True,0,0,0,False,0.13648771610554758,-0.0011875152587890625,1643217000000,10.99,11.02,10.98,10.99,10445.34,10.96,379.34,10.97,89.11,10.95,147.88,10.94,154.64
10.96,True,0,10.96,False,0,0,0,False,-0.5479452054794648,2.2293231964111326,1643217300000,10.95,10.99,10.94,10.96,3941.83,10.96,165.99,10.97,400.68,10.94,137.33,10.93,522.87
10.96,True,0,10.96,True,0,-0.15,0,False,0.0,2.223073005676269,1643217600000,10.95,10.98,10.93,10.94,4270.72,10.96,187.54,10.97,137.77,10.95,14.51,10.94,218.37
10.96,True,0,10.96,True,0,1.6423357664233436,0,False,0.0,2.216947174072266,1643217900000,10.95,11.13,10.94,11.1,18356.37,11.09,184.03,11.1,391.47,11.08,7.69,11.07,176.04
10.96,True,0,10.96,True,0,-1.368613138686129,0,False,1.7599277978339456,2.2465641021728517,1643218200000,11.08,11.08,10.98,10.99,11986.88,10.99,286.87,11.0,1002.26,10.98,9.1,10.97,194.74
10.96,True,0,10.96,True,0,-0.8211678832116718,0,False,-1.36612021857923,2.229636001586914,1643218500000,10.98,11.01,10.89,10.93,12418.74,10.93,179.02,10.94,304.18,10.92,15.11,10.91,198.65
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-0.6861848124428277,-0.010919189453125,1643218800000,10.93,10.97,10.87,10.91,11101.42,10.91,247.83,10.92,344.09,10.89,101.97,10.88,375.1
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-0.4128440366972389,-0.01351776123046875,1643219100000,10.9,10.91,10.77,10.82,15553.54,10.83,188.77,10.84,207.87,10.82,158.08,10.81,2353.64
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-0.9695290858725801,-0.024783897399902343,1643219400000,10.83,10.84,10.78,10.82,9642.01,10.82,38.49,10.83,375.24,10.81,263.68,10.8,1102.8
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-0.13863216266173456,-0.057478141784667966,1643219700000,10.82,10.91,10.81,10.89,10875.94,10.88,97.19,10.89,309.4,10.87,298.68,10.86,276.09
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,0.827205882352948,-0.028092384338378906,1643220000000,10.88,10.89,10.72,10.8,22342.72,10.77,115.15,10.78,134.81,10.75,377.57,10.74,822.52
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-1.5320334261838608,-0.027277565002441405,1643220300000,10.77,10.77,10.57,10.65,26799.58,10.67,278.44,10.68,452.98,10.66,4.68,10.65,217.21
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-1.54784240150093,-0.052881813049316405,1643220600000,10.66,10.74,10.6,10.72,16218.99,10.73,348.37,10.74,428.24,10.71,98.91,10.7,264.17
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,0.8395522388059771,-0.029624557495117186,1643220900000,10.72,10.73,10.57,10.61,13016.07,10.62,534.95,10.63,140.69,10.61,30.6,10.6,363.7
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-1.5551366635249937,-0.044811248779296875,1643221200000,10.61,10.62,10.57,10.57,9723.36,10.59,232.08,10.6,314.11,10.57,168.4,10.56,130.42
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-0.42533081285443325,-0.06493568420410156,1643221500000,10.58,10.74,10.54,10.69,14899.6,10.68,165.42,10.69,191.74,10.67,34.63,10.66,68.05
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,1.2652296157450778,-0.032708740234375,1643221800000,10.67,10.7,10.58,10.59,13142.09,10.61,468.41,10.62,220.6,10.59,261.36,10.58,258.06
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,-1.133144475920681,-0.019002914428710938,1643222100000,10.59,10.64,10.59,10.59,7999.21,10.62,183.91,10.63,211.0,10.61,107.2,10.6,503.08
10.96,True,0,10.96,False,0,-0.8211678832116718,0,False,0.2827521206408988,-0.028043365478515624,1643222400000,10.61,10.65,10.58,10.62,7150.36,10.62,484.14,10.63,530.09,10.61,121.51,10.6,306.25
