conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
18266.08,True,0,18266.08,True,0,0,0,False,-165.30099510117523,2073.223828125,1646629500000,18257.44,18257.45,18253.08,18253.08,0.049960000000000004,18266.08,0.004,18268.3,0.07484,18255.97,0.004,18255.59,0.011
18266.08,False,0,18266.08,True,0,-0.15,0,False,-0.2972615061578678,3630.346875,1646629800000,18221.33,18221.33,18221.33,18221.33,0.00058,18221.68,0.011,18221.69,0.004,18213.72,0.035,18213.7,0.01255
18266.08,False,0,18266.08,True,0,0.21856253083612387,0,False,0.24081360479062316,6742.340625,1646630100000,18250.63,18260.38,18250.42,18260.38,0.20406,18258.88,0.02126,18259.44,0.05487,18247.88,0.05487,18247.85,0.031
18266.08,False,0,18266.08,True,0,0.4349847129709872,0,False,0.37196655006557977,4363.657421875,1646630400000,18296.0,18296.0,18296.0,18296.0,0.0013,18313.12,0.02,18313.13,0.04801,18300.72,0.0037,18297.35,0.05388
18266.08,False,0,18266.08,True,0,-0.1760848412272651,0,False,0.2391785746637789,3653.626171875,1646630700000,18325.22,18325.22,18315.32,18315.33,0.07053,18289.3,0.0081,18290.75,0.03194,18279.33,0.004,18279.32,0.05477
18266.08,False,0,18266.08,True,0,0.21732771427770103,0,False,-0.5670125398426238,3664.696484375,1646631000000,18256.21,18310.28,18256.21,18300.22,0.25119,18315.75,0.02965,18318.01,0.05468,18305.73,0.05468,18305.51,0.008
18266.08,False,0,18266.08,True,0,-0.00675033051922469,0,False,0.6572119619012313,-2212.287890625,1646631300000,18336.55,18336.55,18320.57,18332.84,0.10842,18315.9,0.00866,18316.44,0.0547,18304.91,0.085,18300.27,0.0547
18266.08,False,0,18266.08,True,0,0.26795519317192884,0,False,0.03941908374346935,-1846.78359375,1646631600000,18341.37,18341.37,18341.37,18341.37,0.01,18342.21,0.02,18342.22,0.027,18337.46,0.004,18332.44,0.05464
18266.08,False,0,18266.08,True,0,0.0706315071402912,0,False,-0.20662104570067355,-1760.59609375,1646631900000,18316.14,18343.08,18313.3,18343.08,0.11259000000000001,18349.96,0.02,18354.55,0.05458,18346.04,0.008,18342.01,0.01184
18266.08,False,0,18266.08,True,0,-0.3223694428452859,0,False,-0.13229508196720835,14.3734375,1646632200000,18300.0,18300.0,18300.0,18300.0,0.0,18322.83,0.0013,18322.84,0.06562,18306.88,0.00853,18306.09,0.001
18266.08,False,0,18266.08,True,0,-0.05021587337478195,0,False,0.03818699719087807,-17.859375,1646632500000,18304.66,18320.3,18304.66,18307.35,0.08257,18314.3,0.05472,18314.38,0.00355,18300.78,0.05472,18300.03,0.085
18266.08,False,0,18266.08,True,0,0.09359909512642162,0,False,0.09827119136349094,14.30859375,1646632800000,18316.66,18316.66,18307.8,18311.18,0.02055,18321.88,0.027,18321.89,0.00818,18312.15,0.004,18308.59,0.05469
18266.08,False,0,18266.08,True,0,0.13599446363133438,0,False,0.07571247485118066,1.32890625,1646633100000,18325.91,18334.89,18325.91,18334.88,0.01294,18335.69,0.016,18336.81,0.0696,18328.67,0.002,18322.39,0.05465
18266.08,False,0,18266.08,True,0,-0.01094870681774296,0,False,0.13068446054359364,-1.691796875,1646633400000,18341.89,18341.89,18341.89,18341.89,0.0,18344.8,0.05463,18345.02,0.03671,18327.34,0.00238,18326.74,0.02789
18266.08,False,0,18266.08,True,0,-0.46239764056741706,0,False,-0.6265880269950158,14.474609375,1646633700000,18265.59,18265.59,18265.59,18265.59,0.0,18289.66,0.05481,18289.72,0.016,18271.17,0.02789,18270.93,0.01158
18266.08,False,0,18266.08,True,0,0.04148983636210346,0,False,0.42533027105727705,-23.885546875,1646634000000,18317.53,18317.53,18295.91,18295.92,0.07951,18294.9,0.03873,18295.2,0.02,18276.21,0.02789,18275.52,0.01724
18266.08,False,0,18266.08,True,0,0.03531575357013139,0,False,-0.20204571284252584,8.1578125,1646634300000,18292.89,18304.32,18292.89,18304.32,0.007259999999999999,18297.87,0.05475,18297.89,0.03738,18280.5,0.01299,18280.15,0.011
18266.08,False,0,18266.08,True,0,-0.14101605096882963,0,False,0.04656101542361199,-2.846875,1646634600000,18298.57,18298.57,18265.77,18265.77,0.12318,18277.48,0.05481,18277.69,0.01,18263.37,0.01637,18262.84,0.011
18266.08,False,0,18266.08,True,0,0.26095789934103664,0,False,-0.11189542426467658,-17.669140625,1646634900000,18284.93,18289.13,18284.93,18289.13,0.0786,18299.25,0.004,18301.33,0.04568,18295.07,0.015,18295.06,0.00835
18266.08,False,0,18266.08,True,0,-0.1302319863588366,0,False,-0.0037736942880963477,-2.2859375,1646635200000,18284.47,18284.47,18284.05,18284.05,0.55909,18290.57,0.02,18290.58,0.02183,18279.25,0.011,18278.75,0.04163
18266.08,False,0,18266.08,True,0,-0.15673938181242875,0,False,-0.15636095071400624,-9.33515625,1646635500000,18265.43,18265.43,18256.86,18256.86,0.0735,18264.3,0.00501,18271.05,0.02,18260.21,0.021,18260.2,0.016
18266.08,False,0,18266.08,True,0,-0.2878769003140462,0,False,-0.2591322879927695,3.777734375,1646635800000,18233.93,18240.78,18230.18,18232.92,0.04688,18237.34,0.004,18237.35,0.00904,18225.24,0.018,18225.2,0.011
18266.08,False,0,18266.08,True,0,-0.31175002044309963,0,False,-0.3525059946633478,-0.615234375,1646636100000,18191.18,18191.78,18191.15,18191.78,0.04942,18197.16,0.011,18201.31,0.02,18187.37,0.01746,18187.33,0.00833
18266.08,False,0,18266.08,True,0,0.45021411719125126,0,False,0.12391369542937143,-12.40390625,1646636400000,18206.22,18235.7,18206.22,18235.7,0.40346,18242.07,0.01994,18244.45,0.05489,18242.06,0.02121,18238.38,0.17662
18266.08,False,0,18266.08,True,0,-0.2976731116773692,0,False,-0.0519233051574093,-3.44765625,1646636700000,18199.92,18199.92,18190.34,18196.46,0.04564,18209.28,0.01252,18210.46,0.02,18205.9,0.016,18205.89,0.00783
18266.08,False,0,18266.08,True,0,-0.1344303626574117,0,False,-0.11217222615679158,-17.34140625,1646637000000,18186.32,18186.32,18176.15,18185.19,0.04145,18195.92,0.014,18195.93,0.011,18189.57,0.00282,18188.23,0.00827
18266.08,False,0,18266.08,True,0,-0.08750733343833872,0,False,-0.06716844040492022,-7.4671875,1646637300000,18178.18,18190.4,18178.18,18188.39,0.14875,18180.45,0.07398,18189.98,0.05507,18178.94,0.012,18178.74,0.011
18266.08,False,0,18266.08,True,0,-0.5634056350441767,0,False,-0.41372051689689754,-11.371484375,1646637600000,18128.18,18141.71,18121.08,18131.25,0.98574,18118.5,0.05528,18118.53,0.01581,18110.5,0.27749,18110.49,0.01656
18266.08,False,0,18266.08,True,0,-0.2640037801851065,0,False,-0.394482935605667,-27.328515625,1646637900000,18080.63,18080.64,18080.63,18080.64,1.2584899999999999,18090.91,0.02,18090.92,0.08235,18078.43,0.02,18078.42,0.011
18266.08,False,0,18266.08,True,0,-0.3614719671944897,0,False,-0.41337279143518585,-3.93125,1646638200000,18030.94,18030.94,18023.38,18030.93,0.10287,18046.33,0.07498,18047.62,0.00581,18034.52,0.004,18034.51,0.0025
18266.08,False,0,18266.08,True,0,-0.10166656330795831,0,False,0.003993029944393427,-18.6390625,1646638500000,18031.42,18033.84,18031.42,18033.55,0.0299,18035.36,0.05553,18035.48,0.011,18022.17,0.03472,18022.16,0.01
18266.08,False,0,18266.08,True,0,0.45153125485353485,0,False,0.3016147555727892,-28.882421875,1646638800000,18067.75,18067.75,18062.89,18067.75,0.5618,18084.76,0.011,18086.63,0.01378,18077.02,0.012,18077.01,0.004
18266.08,False,0,18266.08,True,0,-0.22794713667991573,0,False,-0.061626780905982226,-31.452734375,1646639100000,18060.33,18060.33,18060.33,18060.33,0.0030600000000000002,18064.07,0.05546,18064.34,0.011,18049.33,0.008,18047.93,0.08205
18266.08,False,0,18266.08,True,0,-0.5074272843969254,0,False,-0.5572015212168413,-15.367578125,1646639400000,17993.49,17993.49,17993.49,17993.49,0.006,17996.73,0.00199,18001.26,0.01825,17987.69,0.05565,17987.63,0.011
18266.08,False,0,18266.08,True,0,0.25898219284761126,0,False,0.10321628268098602,-30.01171875,1646639700000,18005.88,18015.41,18005.88,18015.41,0.07737999999999999,18026.83,0.05556,18026.87,0.011,18019.15,0.012,18019.14,0.17005
18266.08,False,0,18266.08,True,0,0.007820504869840761,0,False,0.014327284035608796,-20.2109375,1646640000000,18007.6,18044.16,18007.6,18044.16,0.042960000000000005,18040.05,0.05554,18040.54,0.02739,18020.1,0.02619,18018.21,0.02087
18266.08,False,0,18266.08,True,0,-0.19682975940835945,0,False,-0.4650750838070971,-8.972265625,1646640300000,17951.94,17998.88,17951.94,17998.79,0.04094,18011.77,0.06224,18012.06,0.016,17996.19,0.00242,17996.05,0.00199
18266.08,False,0,18266.08,True,0,0.4355609606982682,0,False,0.9881860374002993,-6.733984375,1646640600000,18070.99,18071.0,18051.1,18059.52,0.8268,18057.35,0.004,18066.9,0.05546,18049.1,0.05546,18049.03,0.004
18266.08,False,0,18266.08,True,0,-0.9656265486657674,0,False,-0.6209800453618421,-1.28828125,1646641200000,17940.19,17974.48,17940.19,17965.99,1.31546,17944.27,0.03014,17945.24,0.011,17931.8,0.00169,17929.71,0.04268
18266.08,False,0,18266.08,True,0,0.11829542629433831,0,False,0.17062328583311956,-0.5328125,1646641500000,17960.62,17960.62,17950.27,17950.27,0.067,17963.36,0.05579,17963.39,0.01395,17946.17,0.032,17939.96,0.05579
18266.08,False,0,18266.08,True,0,0.3775245824536455,0,False,0.3311600434658107,-4.04140625,1646641800000,18000.36,18000.36,18000.36,18000.36,0.01035,18006.82,0.05562,18006.84,0.01497,17992.03,0.05563,17991.92,0.02
18266.08,False,0,18266.08,True,0,-0.07046686493245602,0,False,-0.17578558441406508,-11.172265625,1646642100000,17979.29,17979.29,17979.29,17979.29,0.0,18001.83,0.05563,18002.9,0.00156,17983.47,0.01003,17983.32,0.011
18266.08,False,0,18266.08,True,0,0.5932881957573954,0,False,0.7866790453511399,-17.745703125,1646642400000,18074.08,18083.8,18074.08,18079.72,0.059379999999999995,18064.29,0.004,18072.74,0.07515,18055.54,0.004,18055.53,0.01
18266.08,False,0,18266.08,True,0,0.20728453960276738,0,False,0.012613689172117097,-3.71015625,1646642700000,18075.6,18075.6,18075.6,18075.6,0.02074,18096.75,0.05536,18097.1,0.03014,18080.72,0.02,18079.84,0.08443
