conserve initial price,conserved,conserved profit,initial price,initialize,optimized profit,optimized value state,profit state,traded,value state,Trend 5m,Timestamp,open,high,low,close,vol,ask price0,ask vol0,ask price1,ask vol1,bid price0,bid vol0,bid price1,bid vol1
3.194,True,0,3.194,False,0,0,0,False,-0.5148205928237186,0.017408180236816406,1643869200000,3.205,3.205,3.19,3.195,6059.7,3.194,310.7,3.195,31.3,3.192,35.6,3.191,203.9
3.194,True,0,3.194,False,0,0,0,False,-0.32833020637899235,0.6523726463317872,1643869500000,3.198,3.2,3.197,3.199,899.2,3.197,310.9,3.199,75.0,3.196,262.0,3.195,540.2
3.194,True,0,3.194,False,0,0,0,False,-0.23488881929219668,0.6534429550170898,1643869800000,3.193,3.2039999999999997,3.193,3.2039999999999997,1724.6,3.205,111.3,3.206,305.9,3.203,75.0,3.202,40.7
3.194,True,0,3.194,False,0,0,0,False,0.5149812734082246,0.6549269676208496,1643870100000,3.2039999999999997,3.2060000000000004,3.193,3.196,10394.9,3.195,16.5,3.196,534.7,3.193,157.9,3.191,78.8
3.194,True,0,3.194,False,0,0,0,False,-0.375469336670818,0.6537425518035888,1643870400000,3.196,3.2039999999999997,3.195,3.196,3144.0,3.201,58.4,3.202,318.1,3.198,161.8,3.197,180.6
3.194,False,0,3.194,True,0,-0.15,0,False,0.09380863039398592,0.6538218498229982,1643870700000,3.198,3.201,3.1910000000000003,3.201,7981.1,3.202,42.5,3.203,216.9,3.199,89.7,3.198,246.8
3.194,True,0,3.194,False,0,0.3904657362396203,0,False,0.1873828856964399,0.0019309043884277344,1643871000000,3.202,3.202,3.199,3.201,282.4,3.202,75.0,3.203,282.0,3.2,95.0,3.199,144.9
3.194,False,0,3.194,True,0,-0.15,0,False,0.1404056162246543,-0.000637674331665039,1643871300000,3.205,3.205,3.197,3.202,520.5,3.2,75.0,3.201,78.0,3.198,148.2,3.197,400.8
3.194,True,0,3.194,False,0,0.037371053454188424,0,False,-0.14053716427233512,0.002198028564453125,1643871600000,3.202,3.208,3.202,3.2030000000000003,2525.7,3.204,229.3,3.205,765.4,3.203,84.8,3.202,163.7
3.222,True,0,3.222,False,0,0,0,False,0.23386342376051888,0.019605159759521484,1643871900000,3.207,3.221,3.2060000000000004,3.22,6887.9,3.222,413.3,3.223,250.0,3.218,414.0,3.217,523.0
3.222,False,0,3.222,True,0,-0.15,0,False,0.6519714374417992,0.6661715030670166,1643872200000,3.221,3.222,3.214,3.222,5049.6,3.223,369.4,3.224,162.5,3.22,1367.4,3.219,264.5
3.222,False,0,3.222,True,0,0.15544041450777968,0,False,0.04655493482308612,0.6689902782440186,1643872500000,3.222,3.2230000000000003,3.216,3.221,1718.9,3.222,181.0,3.223,756.4,3.22,293.7,3.219,270.9
3.222,False,0,3.222,True,0,-0.3730569948186542,0,False,0.0,0.6691253185272217,1643872800000,3.222,3.2230000000000003,3.2089999999999996,3.2119999999999997,4365.4,3.215,75.0,3.216,274.6,3.212,914.6,3.211,3077.5
3.222,False,0,3.222,True,0,0.3730569948186542,0,False,-0.3265940902021828,0.666116952896118,1643873100000,3.215,3.22,3.2089999999999996,3.219,1179.3,3.221,97.5,3.223,516.9,3.22,658.3,3.219,231.6
3.222,False,0,3.222,True,0,-0.1865284974093413,0,False,0.3258845437616442,0.6663496971130372,1643873400000,3.222,3.222,3.217,3.218,726.4,3.217,140.0,3.218,132.4,3.216,92.8,3.215,89.6
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,-0.3265940902021828,-0.0010207653045654296,1643873700000,3.215,3.215,3.2039999999999997,3.2110000000000003,9575.6,3.212,75.0,3.213,89.6,3.21,140.0,3.209,210.4
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,0.13983840894966348,-0.0041621685028076175,1643874000000,3.218,3.222,3.217,3.221,859.8,3.222,179.0,3.223,87.6,3.219,718.6,3.218,75.0
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,0.046598322460386296,-0.0006755828857421875,1643874300000,3.219,3.225,3.215,3.221,5180.3,3.224,140.0,3.225,275.6,3.222,539.8,3.221,62.0
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,0.0,9.393692016601562e-06,1643874600000,3.219,3.22,3.2089999999999996,3.2089999999999996,5342.8,3.212,282.4,3.213,75.0,3.211,105.4,3.21,140.0
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,-0.4205607476635466,-0.0074824333190917965,1643874900000,3.21,3.2110000000000003,3.2089999999999996,3.2089999999999996,1118.1,3.211,75.0,3.212,737.0,3.209,230.5,3.208,215.0
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,0.0,-0.006020975112915039,1643875200000,3.21,3.214,3.201,3.208,6825.4,3.207,409.0,3.208,160.7,3.206,75.0,3.205,136.3
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,0.046714419184070405,-0.0012151718139648438,1643875500000,3.2110000000000003,3.22,3.2089999999999996,3.216,2768.0,3.217,272.5,3.218,415.1,3.214,220.0,3.213,408.2
3.222,True,0,3.222,False,0,-0.42948186528498217,0,False,0.18662519440122363,-0.004856300354003906,1643875800000,3.215,3.216,3.215,3.216,339.9,3.217,136.1,3.218,194.7,3.216,75.0,3.214,16.7
3.222,False,0,3.222,True,0,-0.15,0,False,0.3258845437616442,-0.0030840396881103515,1643876100000,3.222,3.228,3.219,3.2239999999999998,5215.9,3.231,92.8,3.232,240.0,3.227,610.5,3.226,217.3
3.222,False,0,3.222,True,0,-0.3258845437616458,0,False,0.27881040892194364,0.008025312423706054,1643876400000,3.228,3.23,3.215,3.215,10720.1,3.218,89.7,3.219,351.1,3.215,1222.4,3.214,240.0
3.222,True,0,3.222,False,0,-0.7077746741154399,0,False,-0.9351620947630931,0.003632259368896484,1643876700000,3.208,3.213,3.202,3.2030000000000003,3045.2,3.207,742.4,3.208,95.0,3.203,907.9,3.202,75.0
3.222,True,0,3.222,False,0,-0.7077746741154399,0,False,-0.18726591760301722,6.685256958007812e-05,1643877000000,3.2039999999999997,3.2430000000000003,3.2039999999999997,3.239,10563.5,3.234,30.8,3.235,89.7,3.228,327.8,3.227,240.0
3.222,True,0,3.222,False,0,-0.7077746741154399,0,False,1.5291936978684133,0.01588020324707031,1643877300000,3.237,3.262,3.237,3.253,6750.8,3.253,387.6,3.254,278.2,3.252,6.0,3.251,140.0
3.222,True,0,3.222,False,0,-0.7077746741154399,0,False,1.195219123505967,0.018949031829833984,1643877600000,3.263,3.264,3.241,3.241,1979.7,3.242,423.6,3.243,568.1,3.239,75.0,3.238,123.2
3.222,True,0,3.222,False,0,-0.7077746741154399,0,False,-0.9250693802034955,0.014202213287353516,1643877900000,3.2430000000000003,3.258,3.241,3.2569999999999997,2650.6,3.257,75.0,3.258,45.9,3.255,136.5,3.254,456.0
